Name,MP,FG,FGA,FG.,X3P,X3PA,X3P.,X2P,X2PA,X2P.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
#2 Shaylee Gonzales,77,15,35,0.42857142857142855,0,7,0,15,28,0.5357142857142857,6,8,0.75,8,10,18,6,3,0,8,4,36
#3 Nani Falatea,6,1,2,0.5,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,3,2
#4 Arielle MackeyWilliams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#5 Maria Albiero,50,5,10,0.5,2,6,0.3333333333333333,3,4,0.75,0,0,0,1,2,3,4,1,0,2,3,12
#10 Tegan Graham,73,4,18,0.2222222222222222,3,14,0.21428571428571427,1,4,0.25,5,6,0.8333333333333334,1,11,12,12,2,2,4,4,16
#11 Kaylee Smiler,15,2,4,0.5,1,3,0.3333333333333333,1,1,1,0,0,0,0,0,0,0,1,0,1,2,5
#12 Lauren Gustin,70,5,20,0.25,0,1,0,5,19,0.2631578947368421,2,2,1,7,11,18,3,1,0,1,1,12
#13 Paisley Harding,78,7,29,0.2413793103448276,5,13,0.38461538461538464,2,16,0.125,9,9,1,4,7,11,3,2,1,1,6,28
#20 Devry Millett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#21 Heather Hamson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#22 Sara Hamson,32,3,7,0.42857142857142855,0,0,0,3,7,0.42857142857142855,1,1,1,3,3,6,3,1,3,1,5,7
#24 Rose Bubakar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#25 Emma Calvert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#30 Kate Vorwaller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
