Name,MP,FG,FGA,FG.,X3P,X3PA,X3P.,X2P,X2PA,X2P.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
#2 Shaylee Gonzales,622,138,278,0.49640287769784175,16,71,0.22535211267605634,122,207,0.5893719806763285,70,86,0.813953488372093,33,77,110,82,43,7,50,39,362
#3 Nani Falatea,227,23,54,0.42592592592592593,16,34,0.47058823529411764,7,20,0.35,4,6,0.6666666666666666,3,30,33,18,16,2,15,22,66
#4 Arielle MackeyWilliams,108,9,35,0.2571428571428571,2,16,0.125,7,19,0.3684210526315789,6,6,1,6,9,15,13,3,0,10,7,26
#5 Maria Albiero,557,39,99,0.3939393939393939,12,38,0.3157894736842105,27,61,0.4426229508196721,5,7,0.7142857142857143,5,44,49,78,28,1,27,33,95
#10 Tegan Graham,583,73,168,0.43452380952380953,49,123,0.3983739837398374,24,45,0.5333333333333333,14,18,0.7777777777777778,13,47,60,96,29,15,41,37,209
#11 Kaylee Smiler,164,11,29,0.3793103448275862,7,20,0.35,4,9,0.4444444444444444,2,4,0.5,3,14,17,9,4,1,5,14,31
#12 Lauren Gustin,539,96,180,0.5333333333333333,0,0,0,96,180,0.5333333333333333,22,41,0.5365853658536586,89,137,226,22,26,5,23,41,214
#13 Paisley Harding,594,118,260,0.45384615384615384,36,103,0.34951456310679613,82,157,0.5222929936305732,60,74,0.8108108108108109,19,40,59,47,28,3,42,48,332
#20 Devry Millett,44,4,9,0.4444444444444444,1,4,0.25,3,5,0.6,1,2,0.5,1,7,8,1,2,3,2,3,10
#21 Heather Hamson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#22 Sara Hamson,290,43,59,0.7288135593220338,0,2,0,43,57,0.7543859649122807,6,11,0.5454545454545454,19,51,70,8,10,50,19,46,92
#24 Rose Bubukar,5,0,2,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
#25 Emma Calvert,162,29,61,0.47540983606557374,6,24,0.25,23,37,0.6216216216216216,7,9,0.7777777777777778,16,24,40,9,3,13,20,27,71
#30 Kate Vorwaller,50,6,18,0.3333333333333333,1,5,0.2,5,13,0.38461538461538464,2,4,0.5,4,5,9,4,3,0,2,2,15
