Name,MP,FG,FGA,FG.,X3P,X3PA,X3P.,X2P,X2PA,X2P.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
#1 Amanda Barcello,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#2 Shaylee Gonzales,250,55,111,0.4954954954954955,7,32,0.21875,48,79,0.6075949367088608,37,43,0.8604651162790697,13,27,40,26,17,3,18,31,154
#3 Nani Falatea,100,8,19,0.42105263157894735,7,12,0.5833333333333334,1,7,0.14285714285714285,2,2,1,1,15,16,5,6,1,8,4,25
#4 Arielle MackeyWilliams,40,2,11,0.18181818181818182,0,5,0,2,6,0.3333333333333333,2,2,1,2,2,4,6,1,0,6,4,6
#5 Maria Albiero,222,13,34,0.38235294117647056,4,9,0.4444444444444444,9,25,0.36,3,4,0.75,1,21,22,33,7,0,14,3,33
#10 Tegan Graham,250,26,61,0.4262295081967213,18,45,0.4,8,16,0.5,6,8,0.75,5,18,23,41,17,9,20,5,76
#11 Kaylee Smiler,51,4,9,0.4444444444444444,4,7,0.5714285714285714,0,2,0,0,0,0,2,4,6,4,0,0,1,2,12
#12 Lauren Gustin,198,33,61,0.5409836065573771,0,0,0,33,61,0.5409836065573771,9,15,0.6,25,50,75,8,7,2,3,10,75
#13 Paisley Harding,249,49,104,0.47115384615384615,18,47,0.3829787234042553,31,57,0.543859649122807,22,28,0.7857142857142857,6,20,26,18,12,2,18,16,138
#20 Devry Millett,11,0,2,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
#21 Heather Hamson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#22 Sara Hamson,113,14,20,0.7,0,0,0,14,20,0.7,3,4,0.75,5,18,23,1,3,21,11,6,31
#24 Rose Bubukar,5,0,2,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
#25 Emma Calvert,75,14,29,0.4827586206896552,4,11,0.36363636363636365,10,18,0.5555555555555556,4,5,0.8,7,10,17,3,0,9,10,6,36
#30 Kate Vorwaller,15,2,4,0.5,1,1,1,1,3,0.3333333333333333,1,2,0.5,2,4,6,3,1,0,1,1,6
#32 Signe Glantz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
