Name,MP,FG,FGA,FG.,X3P,X3PA,X3P.,X2P,X2PA,X2P.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
#2 Shaylee Gonzales,909,207,409,0.5061124694376528,21,94,0.22340425531914893,186,315,0.5904761904761905,109,130,0.8384615384615385,60,112,172,126,67,7,76,51,544
#3 Nani Falatea,298,32,67,0.47761194029850745,21,41,0.5121951219512195,11,26,0.4230769230769231,4,6,0.6666666666666666,3,34,37,24,19,3,21,35,89
#4 Arielle MackeyWilliams,151,15,49,0.30612244897959184,5,21,0.23809523809523808,10,28,0.35714285714285715,8,8,1,6,12,18,18,4,0,16,14,43
#5 Maria Albiero,779,56,137,0.40875912408759124,20,60,0.3333333333333333,36,77,0.4675324675324675,5,7,0.7142857142857143,10,49,59,104,36,1,37,44,137
#10 Tegan Graham,843,99,240,0.4125,69,179,0.3854748603351955,30,61,0.4918032786885246,23,28,0.8214285714285714,16,71,87,142,42,20,52,57,290
#11 Kaylee Smiler,268,18,47,0.3829787234042553,10,32,0.3125,8,15,0.5333333333333333,6,8,0.75,5,20,25,21,10,3,8,22,52
#12 Lauren Gustin,809,137,270,0.5074074074074074,0,1,0,137,269,0.5092936802973977,29,60,0.48333333333333334,122,199,321,28,36,7,35,54,303
#13 Paisley Harding,879,176,387,0.45478036175710596,49,145,0.33793103448275863,127,242,0.5247933884297521,91,109,0.8348623853211009,30,66,96,72,47,4,56,65,492
#20 Devry Millett,63,5,15,0.3333333333333333,1,6,0.16666666666666666,4,9,0.4444444444444444,1,2,0.5,2,10,12,3,2,3,3,3,12
#21 Heather Hamson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#22 Sara Hamson,418,60,91,0.6593406593406593,0,2,0,60,89,0.6741573033707865,11,19,0.5789473684210527,30,66,96,16,16,70,28,67,131
#24 Rose Bubakar,123,16,43,0.37209302325581395,4,16,0.25,12,27,0.4444444444444444,8,12,0.6666666666666666,11,20,31,4,5,2,4,8,44
#25 Emma Calvert,214,41,83,0.4939759036144578,8,33,0.24242424242424243,33,50,0.66,11,14,0.7857142857142857,18,32,50,13,3,17,22,35,101
#30 Kate Vorwaller,71,7,22,0.3181818181818182,2,6,0.3333333333333333,5,16,0.3125,3,6,0.5,4,7,11,8,4,0,2,5,19
