Name,MP,FG,FGA,FG.,X3P,X3PA,X3P.,X2P,X2PA,X2P.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
#1 Amanda Barcello,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#2 Shaylee Gonzales,456,102,210,0.4857142857142857,10,54,0.18518518518518517,92,156,0.5897435897435898,61,75,0.8133333333333334,27,55,82,56,32,7,39,29,275
#3 Nani Falatea,177,17,42,0.40476190476190477,11,25,0.44,6,17,0.35294117647058826,4,4,1,2,25,27,13,11,1,13,17,49
#4 Arielle MackeyWilliams,94,8,31,0.25806451612903225,2,15,0.13333333333333333,6,16,0.375,2,2,1,3,7,10,12,3,0,9,7,20
#5 Maria Albiero,419,28,70,0.4,9,22,0.4090909090909091,19,48,0.3958333333333333,4,5,0.8,4,38,42,64,18,0,22,25,69
#10 Tegan Graham,445,57,130,0.43846153846153846,43,101,0.42574257425742573,14,29,0.4827586206896552,8,10,0.8,8,35,43,76,23,14,30,25,165
#11 Kaylee Smiler,116,8,20,0.4,6,14,0.42857142857142855,2,6,0.3333333333333333,2,2,1,2,11,13,6,2,0,2,10,24
#12 Lauren Gustin,386,74,133,0.556390977443609,0,0,0,74,133,0.556390977443609,19,37,0.5135135135135135,69,104,173,17,19,4,12,28,167
#13 Paisley Harding,439,87,203,0.42857142857142855,26,82,0.3170731707317073,61,121,0.5041322314049587,37,45,0.8222222222222222,15,30,45,38,24,2,30,37,237
#20 Devry Millett,37,3,7,0.42857142857142855,0,3,0,3,4,0.75,1,2,0.5,1,6,7,1,1,3,1,2,7
#21 Heather Hamson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#22 Sara Hamson,211,33,45,0.7333333333333333,0,1,0,33,44,0.75,4,8,0.5,14,37,51,4,8,38,17,33,70
#24 Rose Bubukar,5,0,2,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
#25 Emma Calvert,133,25,51,0.49019607843137253,6,18,0.3333333333333333,19,33,0.5757575757575758,5,7,0.7142857142857143,14,18,32,7,3,10,17,23,61
#30 Kate Vorwaller,42,5,14,0.35714285714285715,1,3,0.3333333333333333,4,11,0.36363636363636365,2,4,0.5,4,4,8,3,3,0,2,2,13
#32 Signe Glantz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
