Name,MP,FG,FGA,FG.,X3P,X3PA,X3P.,X2P,X2PA,X2P.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
#2 Shaylee Gonzales,36,11,15,0.7333333333333333,2,3,0.6666666666666666,9,12,0.75,5,6,0.8333333333333334,2,6,8,4,0,0,3,2,29
#3 Nani Falatea,14,1,3,0.3333333333333333,1,2,0.5,0,1,0,0,2,0,0,1,1,2,1,0,0,2,3
#4 Arielle MackeyWilliams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#5 Maria Albiero,31,2,4,0.5,0,2,0,2,2,1,1,2,0.5,0,1,1,1,2,0,3,2,5
#10 Tegan Graham,32,1,6,0.16666666666666666,1,4,0.25,0,2,0,1,2,0.5,2,4,6,5,2,0,6,4,4
#11 Kaylee Smiler,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
#12 Lauren Gustin,31,3,7,0.42857142857142855,0,0,0,3,7,0.42857142857142855,0,0,0,1,9,10,1,0,0,3,4,6
#13 Paisley Harding,35,7,12,0.5833333333333334,1,2,0.5,6,10,0.6,4,7,0.5714285714285714,3,2,5,3,0,0,2,3,19
#20 Devry Millett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#21 Heather Hamson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#22 Sara Hamson,17,4,5,0.8,0,0,0,4,5,0.8,0,0,0,0,4,4,1,0,1,0,1,8
#24 Rose Bubukar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#25 Emma Calvert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#30 Kate Vorwaller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
