"","byu_lineup","lineup_minutes","lineup_plus_minus"
"1","Albiero Gonzales Graham Gustin Johnson",71.68,68
"2","Albiero Gonzales Graham Gustin Harding",16.25,20
"3","Albiero Falatea Graham Gustin Johnson",9.47,4
"4","Bubakar Calvert Falatea Hamson Mackeywilliams",9.47,-24
"5","Albiero Gonzales Graham Hamson Johnson",8.75,9
"6","Falatea Graham Gustin Hamson Harding",8.08,-4
"7","Falatea Gonzales Graham Gustin Johnson",7.85,3
"8","Albiero Graham Hamson Johnson Smiler",7.42,3
"9","Albiero Gonzales Graham Gustin Smiler",7.33,1
"10","Gonzales Graham Gustin Hamson Harding",7.12,-12
"11","Gonzales Graham Gustin Hamson Johnson",6.74,7
"12","Gonzales Gustin Hamson Johnson Smiler",6.72,8
"13","Albiero Gonzales Graham Gustin Hamson",6.17,4
"14","Albiero Falatea Gonzales Graham Gustin",5.79,-9
"15","Bubakar Calvert Falatea Mackeywilliams Vorwaller",5.55,4
"16","Albiero Graham Gustin Johnson Smiler",5.42,-2
"17","Albiero Gonzales Gustin Hamson Smiler",5.4,-6
"18","Graham Hamson Johnson Johnson Smiler",5,3
"19","Calvert Graham Gustin Johnson Johnson",4.8,5
"20","Albiero Calvert Gonzales Graham Johnson",4.5,0
"21","Falatea Graham Gustin Johnson Mackeywilliams",4,4
"22","Albiero Gonzales Graham Hamson Smiler",3.97,0
"23","Albiero Gustin Hamson Johnson Smiler",3.95,-4
"24","Albiero Falatea Gonzales Graham Hamson",3.83,8
"25","Calvert Gonzales Graham Johnson Smiler",3.67,1
"26","Albiero Gonzales Gustin Hamson Harding",3.62,2
"27","Falatea Graham Gustin Gustin Johnson",3.6,1
"28","Albiero Calvert Falatea Gonzales Gustin",3,-1
"29","Bubukar Calvert Mackeywilliams Millett Vorwaller",2.9,-21
"30","Albiero Calvert Graham Gustin Johnson",2.87,7
"31","Falatea Graham Hamson Johnson Smiler",2.77,7
"32","Bubakar Calvert Mackeywilliams Millett Vorwaller",2.75,-24
"33","Calvert Falatea Gustin Johnson Mackeywilliams",2.62,2
"34","Gonzales Graham Gustin Johnson Mackeywilliams",2.3,0
"35","Albiero Calvert Gonzales Hamson Johnson",2.15,0
"36","Albiero Calvert Falatea Gustin Johnson",1.95,-2
"37","Albiero Calvert Hamson Johnson Johnson",1.87,2
"38","Graham Gustin Johnson Smiler Smiler",1.85,-2
"39","Albiero Calvert Gonzales Graham Hamson",1.7,4
"40","Calvert Gonzales Graham Johnson Mackeywilliams",1.7,-2
"41","Calvert Falatea Graham Hamson Mackeywilliams",1.62,-3
"42","Calvert Hamson Johnson Johnson Smiler",1.55,-1
"43","Calvert Gonzales Gustin Johnson Smiler",1.28,1
"44","Albiero Graham Hamson Johnson Mackeywilliams",1.27,-6
"45","Gonzales Graham Hamson Johnson Johnson",1.25,-3
"46","Albiero Calvert Graham Johnson Johnson",1.2,2
"47","Bubakar Falatea Hamson Mackeywilliams Vorwaller",1.17,-42
"48","Gonzales Graham Hamson Johnson Mackeywilliams",1.13,2
"49","Bubakar Falatea Gonzales Hamson Mackeywilliams",1.1,0
"50","Falatea Gonzales Gustin Hamson Johnson",1.1,3
"51","Bubukar Calvert Falatea Mackeywilliams Vorwaller",1.05,-3
"52","Albiero Graham Hamson Johnson Johnson",1.02,-2
"53","Albiero Calvert Gonzales Graham Gustin",0.9,2
"54","Calvert Falatea Gonzales Gustin Mackeywilliams",0.85,0
"55","Bubukar Calvert Falatea Mackeywilliams Smiler",0.83,0
"56","Albiero Graham Gustin Smiler Smiler",0.63,2
"57","Bubakar Calvert Falatea Gustin Mackeywilliams",0.6,1
"58","Calvert Falatea Gonzales Gustin Johnson",0.5,2
"59","Falatea Gonzales Graham Gustin Hamson",0.5,-1
"60","Gonzales Graham Gustin Johnson Smiler",0.38,-1
"61","Bubakar Falatea Graham Hamson Mackeywilliams",0.33,1
"62","Albiero Graham Gustin Johnson Mackeywilliams",0.28,0
"63","Albiero Falatea Graham Gustin Hamson",0.18,0
"64","Albiero Gustin Johnson Smiler Vorwaller",0.07,0
"65","Falatea Gonzales Graham Gustin Mackeywilliams",0.02,0
