Play By Play (1st),,,Period: 1 | 2 | 3 | 4,,,
Team,PER,Time,Data,ASU - BYU,,
ASU,1,9:36,13 Maggie Besselink > Spot-Up > Drives Left > Turnover,,,
,,9:36,Turnover > Any Type > Maggie Besselink,,,
BYU,1,9:22,13 Paisley Johnson > P&R Ball Handler > High P&R > Go Away from Pick > Defense Commits > Turnover,,,
,,9:22,Misc Stat > Steal > Jade Loville,,,
,,9:22,Turnover > Any Type > Paisley Johnson,,,
ASU,1,9:05,12 Mael Gilles > ISO > Top > Drives Right > To Basket > Make 2 Pts,2,-,0
,,9:05,Shot > Mael Gilles > Any Type > 2 Point Attempt > Make 2 Pts,,,
BYU,1,8:49,12 Lauren Gustin > Spot-Up > No Dribble Jumper > Open > Medium/17' to <3p > Make 2 Pts,2,-,2
,,8:49,Shot > Lauren Gustin > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,8:49,Misc Stat > Assist > Shaylee Gonzales,,,
ASU,1,8:30,30 Jade Loville > Off Screen > To Shooter's Right > Straight > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,2,-,2
,,8:30,Shot > Jade Loville > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,8:30,Misc Stat > Defensive Rebound > Maria Albiero,,,
BYU,1,8:15,13 Paisley Johnson > Cut > Basket > Foul,2,-,2
,,8:15,Personal Foul > Defensive - Any > Maggie Besselink,,,
BYU,1,8:15,13 Paisley Johnson > Non Possession > Free Throw,2,-,3
,,8:15,Shot > Paisley Johnson > Free Throw > Made,,,
BYU,1,8:15,13 Paisley Johnson > Non Possession > Free Throw,2,-,3
,,8:15,Shot > Paisley Johnson > Free Throw > Missed,,,
,,8:15,Misc Stat > Defensive Rebound > Maggie Besselink,,,
ASU,1,8:05,0 Taya Hanson > Off Screen > To Shooter's Left > Straight > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,2,-,3
,,8:05,Shot > Taya Hanson > Any Type > 3 Point Attempt > Miss 3 Pts,,,
ASU,1,8:05,12 Mael Gilles > Offensive Rebound > Short > Run Offense,2,-,3
,,8:05,Misc Stat > Offensive Rebound > Mael Gilles,,,
ASU,1,7:49,13 Maggie Besselink > Hand Off > From Dribble > Left > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,2,-,3
,,7:49,Shot > Maggie Besselink > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,7:49,Misc Stat > Defensive Rebound > Lauren Gustin,,,
BYU,1,7:24,13 Paisley Johnson > Spot-Up > Drives Right > To Basket > Miss 2 Pts,2,-,3
,,7:24,Shot > Paisley Johnson > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,7:24,Misc Stat > Defensive Rebound > Maggie Besselink,,,
ASU,1,7:02,3 Gabriela Bosquez > Cut > Basket > Miss 2 Pts,2,-,3
,,7:02,Shot > Gabriela Bosquez > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,7:21,Player Movement > Sub Out > Away Player > Maggie Besselink,,,
,,7:21,Personal Foul > Defensive - Any > Paisley Johnson,,,
,,7:21,Player Movement > Sub In > Away Player > Katelyn Levings,,,
,,7:21,Player Movement > Sub In > Away Player > Gabriela Bosquez,,,
,,7:21,Player Movement > Sub Out > Away Player > Jade Loville,,,
,,7:02,Misc Stat > Defensive Rebound > Lauren Gustin,,,
BYU,1,6:50,5 Maria Albiero > ISO > Right > Drives Right > Defense Commits,2,-,3
,,,Ball Delivered,,,
,,,13 Paisley Johnson > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,,,
,,6:50,Shot > Paisley Johnson > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,6:50,Misc Stat > Team Offensive Rebound > Home,,,
BYU,1,6:26,12 Lauren Gustin > No Play Type > No Dribble Jumper > Guarded > Medium/17' to <3p > Miss 2 Pts,2,-,3
,,6:26,Shot > Lauren Gustin > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,6:26,Misc Stat > Defensive Rebound > Jaddan Simmons,,,
BYU,1,6:14,13 Paisley Johnson > Transition > Ballhandler > To Basket > Foul,2,-,3
,,6:14,Personal Foul > Defensive - Any > Katelyn Levings,,,
BYU,1,6:14,13 Paisley Johnson > Non Possession > Free Throw,2,-,4
,,6:14,Shot > Paisley Johnson > Free Throw > Made,,,
,,6:14,Player Movement > Sub In > Away Player > Jade Loville,,,
,,6:14,Player Movement > Sub In > Away Player > Sydney Erikstrup,,,
,,6:14,Player Movement > Sub Out > Away Player > Mael Gilles,,,
,,6:14,Player Movement > Sub Out > Away Player > Jaddan Simmons,,,
BYU,1,6:14,13 Paisley Johnson > Non Possession > Free Throw,2,-,5
,,6:14,Shot > Paisley Johnson > Free Throw > Made,,,
ASU,1,5:58,20 Katelyn Levings > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,2,-,5
,,5:58,Shot > Katelyn Levings > Any Type > 3 Point Attempt > Miss 3 Pts,,,
ASU,1,5:58,11 Sydney Erikstrup > Offensive Rebound > Long > Run Offense,2,-,5
,,5:58,Misc Stat > Offensive Rebound > Sydney Erikstrup,,,
ASU,1,5:53,30 Jade Loville > Hand Off > From Dribble > Left > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,2,-,5
,,5:53,Shot > Jade Loville > Any Type > 3 Point Attempt > Miss 3 Pts,,,
ASU,1,5:53,0 Taya Hanson > Offensive Rebound > Long > Run Offense,2,-,5
,,5:53,Misc Stat > Offensive Rebound > Taya Hanson,,,
ASU,1,5:43,3 Gabriela Bosquez > Spot-Up > Drives Left > To Basket > Foul,2,-,5
,,5:43,Player Movement > Sub Out > Home Player > Paisley Johnson,,,
,,5:43,Personal Foul > Defensive - Any > Shaylee Gonzales,,,
,,5:43,Player Movement > Sub In > Home Player > Kaylee Smiler,,,
ASU,1,5:43,3 Gabriela Bosquez > Non Possession > Free Throw,3,-,5
,,5:43,Shot > Gabriela Bosquez > Free Throw > Made,,,
ASU,1,5:43,3 Gabriela Bosquez > Non Possession > Free Throw,4,-,5
,,5:43,Shot > Gabriela Bosquez > Free Throw > Made,,,
BYU,1,5:31,2 Shaylee Gonzales > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits,4,-,5
,,,Ball Delivered,,,
,,,10 Tegan Graham > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,,,
