"","byu_lineup","lineup_minutes","lineup_plus_minus"
"1","Albiero Gonzales Graham Gustin Johnson",9.15,5
"2","Albiero Gonzales Gustin Hamson Smiler",4.65,-4
"3","Albiero Graham Gustin Johnson Smiler",4.3,-3
"4","Falatea Graham Gustin Johnson Mackeywilliams",4,4
"5","Albiero Gustin Hamson Johnson Smiler",3.73,-2
"6","Albiero Gonzales Graham Gustin Smiler",2.88,3
"7","Falatea Graham Hamson Johnson Smiler",2.77,7
"8","Gonzales Graham Gustin Hamson Johnson",2.33,-1
"9","Graham Gustin Johnson Smiler Smiler",1.85,-2
"10","Falatea Gonzales Graham Gustin Johnson",1.42,-2
"11","Albiero Graham Gustin Smiler Smiler",0.63,2
"12","Gonzales Gustin Hamson Johnson Smiler",0.6,2
"13","Albiero Gustin Johnson Smiler Vorwaller",0.07,0
