"","byu_lineup","lineup_minutes","lineup_plus_minus"
"1","Albiero Gonzales Graham Gustin Johnson",10.33,4
"2","Bubakar Calvert Falatea Mackeywilliams Vorwaller",5.55,4
"3","Albiero Falatea Gonzales Graham Hamson",3.83,8
"4","Gonzales Graham Gustin Hamson Johnson",3.43,4
"5","Falatea Gonzales Graham Gustin Johnson",3.02,0
"6","Albiero Falatea Graham Gustin Johnson",2.53,5
"7","Gonzales Graham Gustin Johnson Mackeywilliams",2.3,0
"8","Calvert Falatea Gustin Johnson Mackeywilliams",1.85,2
"9","Albiero Calvert Falatea Gonzales Gustin",1.62,2
"10","Albiero Gonzales Graham Gustin Hamson",1.45,7
"11","Bubakar Falatea Hamson Mackeywilliams Vorwaller",1.17,-42
"12","Albiero Calvert Gonzales Graham Gustin",0.9,2
"13","Bubakar Calvert Falatea Hamson Mackeywilliams",0.83,5
"14","Bubakar Calvert Falatea Gustin Mackeywilliams",0.6,1
"15","Albiero Calvert Falatea Gustin Johnson",0.57,-2
"16","Falatea Gonzales Graham Gustin Mackeywilliams",0.02,0
