Play By Play (1st),,,Period: 1 | 2 | 3 | 4,,,
Team,PER,Time,Data,FS - BYU,,
BYU,1,9:55,13 Paisley Johnson > No Play Type > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,,,
,,9:55,Shot > Paisley Johnson > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,9:55,Misc Stat > Defensive Rebound > Amiee Book,,,
FS,1,9:39,0 Hanna Cavinder > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits,,,
,,,Ball Delivered,,,
,,,30 Yanina Todorova > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,,,
,,9:39,Shot > Yanina Todorova > Any Type > 3 Point Attempt > Miss 3 Pts,,,
FS,1,9:39,1 Haley Cavinder > Offensive Rebound > Long > Run Offense,,,
,,9:39,Misc Stat > Offensive Rebound > Haley Cavinder,,,
FS,1,9:28,0 Hanna Cavinder > Spot-Up > Drives Left > Dribble Jumper > Long/3pt > Miss 3 Pts,,,
,,9:28,Shot > Hanna Cavinder > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,9:28,Misc Stat > Defensive Rebound > Shaylee Gonzales,,,
BYU,1,9:12,2 Shaylee Gonzales > Off Screen > To Shooter's Left > Straight > To Basket > Make 2 Pts,0,-,2
,,9:12,Shot > Shaylee Gonzales > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,9:12,Misc Stat > Assist > Tegan Graham,,,
FS,1,8:40,1 Haley Cavinder > P&R Ball Handler > Left P&R > Baseline > Dribble Off Pick > Dribble Jumper > Long/3pt > Make 3 Pts,3,-,2
,,8:40,Shot > Haley Cavinder > Any Type > 3 Point Attempt > Make 3 Pts,,,
BYU,1,8:16,5 Maria Albiero > Spot-Up > Drives Right > Dribble Jumper > Short to < 17' > Miss 2 Pts,3,-,2
,,8:16,Shot > Maria Albiero > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,8:16,Misc Stat > Defensive Rebound > Amiee Book,,,
FS,1,8:03,42 Maria Guimaraes > Post-Up > Left Block > Left Shoulder > Dribble Move > To Hook > Make 2 Pts,5,-,2
,,8:03,Shot > Maria Guimaraes > Any Type > 2 Point Attempt > Make 2 Pts,,,
BYU,1,7:46,13 Paisley Johnson > Spot-Up > No Dribble Jumper > Open > Short to < 17' > Miss 2 Pts,5,-,2
,,7:46,Shot > Paisley Johnson > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,7:46,Misc Stat > Team Defensive Rebound > Away,,,
FS,1,7:30,0 Hanna Cavinder > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits,5,-,2
,,,Ball Delivered,,,
,,,30 Yanina Todorova > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,,,
,,7:30,Shot > Yanina Todorova > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,7:30,Misc Stat > Defensive Rebound > Tegan Graham,,,
BYU,1,7:22,13 Paisley Johnson > Transition > Left Wing > To Basket > Make 2 Pts,5,-,4
,,7:22,Shot > Paisley Johnson > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,7:22,Misc Stat > Assist > Tegan Graham,,,
FS,1,7:06,0 Hanna Cavinder > Hand Off > From Dribble > Right > Dribble Jumper > Medium/17' to <3p > Make 2 Pts,7,-,4
,,7:06,Shot > Hanna Cavinder > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,7:06,Misc Stat > Assist > Haley Cavinder,,,
BYU,1,6:52,13 Paisley Johnson > Transition > Left Wing > To Basket > Miss 2 Pts,7,-,4
,,6:52,Shot > Paisley Johnson > Any Type > 2 Point Attempt > Miss 2 Pts,,,
BYU,1,6:52,10 Tegan Graham > Offensive Rebound > Short > Run Offense,7,-,4
,,6:52,Misc Stat > Offensive Rebound > Tegan Graham,,,
BYU,1,6:46,5 Maria Albiero > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,7,-,4
,,6:46,Shot > Maria Albiero > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,6:46,Misc Stat > Defensive Rebound > Haley Cavinder,,,
FS,1,6:39,30 Yanina Todorova > Transition > Right Wing > To Basket > Miss 2 Pts,7,-,4
,,6:39,Shot > Yanina Todorova > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,6:39,Misc Stat > Defensive Rebound > Lauren Gustin,,,
BYU,1,6:32,2 Shaylee Gonzales > Transition > Ballhandler > To Basket > Make 2 Pts,7,-,6
,,6:32,Shot > Shaylee Gonzales > Any Type > 2 Point Attempt > Make 2 Pts,,,
FS,1,6:12,0 Hanna Cavinder > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits,7,-,6
,,,Ball Delivered,,,
,,,13 Amiee Book > Spot-Up > Turnover,,,
