Play By Play (1st),,,Period: 1 | 2 | 3 | 4,,,
Team,PER,Time,Data,FSU - BYU,,
FSU,1,9:33,4 Sara Bejedi > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Turnover,,,
,,9:33,Misc Stat > Steal > Paisley Johnson,,,
,,9:33,Turnover > Any Type > Sara Bejedi,,,
BYU,1,9:18,13 Paisley Johnson > Off Screen > To Shooter's Right > Straight > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,,,
,,9:18,Shot > Paisley Johnson > Any Type > 3 Point Attempt > Miss 3 Pts,,,
BYU,1,9:16,12 Lauren Gustin > Offensive Rebound > Long > Run Offense,,,
,,9:16,Misc Stat > Offensive Rebound > Lauren Gustin,,,
BYU,1,9:09,2 Shaylee Gonzales > Spot-Up > Drives Left > Dribble Jumper > Short to < 17' > Make 2 Pts,0,-,2
,,9:09,Shot > Shaylee Gonzales > Any Type > 2 Point Attempt > Make 2 Pts,,,
FSU,1,8:42,32 Valencia Myers > Post-Up > Right Block > Defense Commits,0,-,2
,,,Ball Delivered,,,
,,,24 Morgan Jones > Spot-Up > Drives Straight > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts,,,
,,8:42,Shot > Morgan Jones > Any Type > 2 Point Attempt > Miss 2 Pts,,,
FSU,1,8:36,4 Sara Bejedi > Offensive Rebound > Long > Scoring Attempt > Long/3pt > Miss 3 Pts,0,-,2
,,8:36,Shot > Sara Bejedi > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,8:39,Misc Stat > Offensive Rebound > Sara Bejedi,,,
,,8:34,Misc Stat > Defensive Rebound > Lauren Gustin,,,
BYU,1,8:31,13 Paisley Johnson > Transition > Left Wing > To Basket > Foul,0,-,2
,,8:31,Personal Foul > Defensive - Any > Sammie Puisis,,,
BYU,1,8:31,13 Paisley Johnson > Non Possession > Free Throw,0,-,3
,,8:31,Shot > Paisley Johnson > Free Throw > Made,,,
BYU,1,8:31,13 Paisley Johnson > Non Possession > Free Throw,0,-,4
,,8:31,Shot > Paisley Johnson > Free Throw > Made,,,
,,8:31,Player Movement > Sub Out > Away Player > River Baldwin,,,
,,8:31,Player Movement > Sub In > Away Player > Makayla Timpson,,,
FSU,1,8:20,4 Sara Bejedi > No Play Type > Turnover,0,-,4
,,8:20,Turnover > Any Type > Sara Bejedi,,,
,,8:20,Misc Stat > Steal > Shaylee Gonzales,,,
