"","byu_lineup","lineup_minutes","lineup_plus_minus"
"1","Albiero Gonzales Graham Gustin Johnson",11.92,14
"2","Albiero Gonzales Graham Gustin Smiler",4.45,-2
"3","Albiero Gonzales Graham Hamson Johnson",4.2,5
"4","Calvert Gonzales Graham Johnson Smiler",3.67,1
"5","Gonzales Gustin Hamson Johnson Smiler",3.07,1
"6","Albiero Graham Hamson Johnson Smiler",2.4,-3
"7","Albiero Falatea Graham Gustin Johnson",1.77,4
"8","Albiero Gonzales Graham Hamson Smiler",1.72,6
"9","Bubakar Calvert Falatea Hamson Mackeywilliams",1.42,-20
"10","Falatea Gonzales Graham Gustin Johnson",1.15,1
"11","Albiero Graham Gustin Johnson Smiler",1.12,1
"12","Bubakar Falatea Gonzales Hamson Mackeywilliams",1.1,0
"13","Albiero Gonzales Gustin Hamson Smiler",0.75,-2
"14","Falatea Gonzales Graham Gustin Hamson",0.5,-1
"15","Gonzales Graham Gustin Johnson Smiler",0.38,-1
"16","Albiero Gustin Hamson Johnson Smiler",0.22,-2
"17","Albiero Falatea Graham Gustin Hamson",0.18,0
