Play By Play (1st),,,Period: 1 | 2 | 3 | 4,,,
Team,PER,Time,Data,LU - BYU,,
LU,1,9:40,24 Casey Collier > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits,3,-,0
,,,Ball Delivered,,,
,,,15 Blythe Pearson > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,,,
,,9:40,Shot > Blythe Pearson > Any Type > 3 Point Attempt > Make 3 Pts,,,
,,9:40,Misc Stat > Assist > Jaylin Holcomb,,,
BYU,1,9:29,12 Lauren Gustin > Non Possession > Non Shooting Foul,3,-,0
,,9:29,Personal Foul > Defensive - Any > Jordan Peete,,,
BYU,1,9:25,5 Maria Albiero > Off Screen > To Shooter's Right > Straight > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,3,-,0
,,9:25,Shot > Maria Albiero > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,9:18,Misc Stat > Defensive Rebound > Casey Collier,,,
LU,1,9:12,15 Blythe Pearson > Transition > Left Wing > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,3,-,0
,,9:12,Shot > Blythe Pearson > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,9:08,Misc Stat > Defensive Rebound > Lauren Gustin,,,
BYU,1,9:00,2 Shaylee Gonzales > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,3,-,0
,,9:00,Shot > Shaylee Gonzales > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,8:55,Misc Stat > Defensive Rebound > Jaylin Holcomb,,,
LU,1,8:30,24 Casey Collier > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits,6,-,0
,,,Ball Delivered,,,
,,,15 Blythe Pearson > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,,,
,,8:30,Shot > Blythe Pearson > Any Type > 3 Point Attempt > Make 3 Pts,,,
,,8:30,Misc Stat > Assist > Casey Collier,,,
BYU,1,8:06,12 Lauren Gustin > Post-Up > Right Block > Right Shoulder > Dribble Move > To Basket > Miss 2 Pts,6,-,0
,,8:06,Shot > Lauren Gustin > Any Type > 2 Point Attempt > Miss 2 Pts,,,
BYU,1,8:03,2 Shaylee Gonzales > Offensive Rebound > Short > Turnover,6,-,0
,,8:03,Misc Stat > Offensive Rebound > Shaylee Gonzales,,,
,,8:01,Personal Foul > Offensive Foul - Player Control > Shaylee Gonzales,,,
,,8:01,Turnover > Any Type > Shaylee Gonzales,,,
LU,1,7:51,24 Casey Collier > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits,6,-,0
,,,Ball Delivered,,,
,,,23 Jaylin Holcomb > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,,,
,,7:51,Shot > Jaylin Holcomb > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,7:47,Misc Stat > Defensive Rebound > Paisley Johnson,,,
BYU,1,7:43,13 Paisley Johnson > Transition > Ballhandler > To Basket > Miss 2 Pts,6,-,0
,,7:43,Shot > Paisley Johnson > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,7:37,Misc Stat > Team Offensive Rebound > Home,,,
BYU,1,7:37,10 Tegan Graham > Spot-Up > Drives Right > Turnover,6,-,0
,,7:37,Player Movement > Sub In > Away Player > Maddie Cook,,,
,,7:37,Player Movement > Sub Out > Away Player > Jordan Peete,,,
,,7:34,Turnover > Any Type > Tegan Graham,,,
LU,1,7:21,22 Maddie Cook > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits,9,-,0
,,,Ball Delivered,,,
,,,15 Blythe Pearson > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,,,
,,7:21,Shot > Blythe Pearson > Any Type > 3 Point Attempt > Make 3 Pts,,,
,,7:21,Misc Stat > Assist > Jaylin Holcomb,,,
BYU,1,7:08,12 Lauren Gustin > Post-Up > Flash Middle > Right Shoulder > Dribble Move > To Drop Step > Make 2 Pts,9,-,2
,,7:08,Shot > Lauren Gustin > Any Type > 2 Point Attempt > Make 2 Pts,,,
LU,1,7:00,21 Bella Vinson > Spot-Up > Drives Left > Turnover,9,-,2
,,7:00,Turnover > Any Type > Bella Vinson,,,
BYU,1,6:52,2 Shaylee Gonzales > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Long/3pt > Miss 3 Pts,9,-,2
,,6:52,Shot > Shaylee Gonzales > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,6:48,Misc Stat > Defensive Rebound > Blythe Pearson,,,
LU,1,6:37,24 Casey Collier > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits,9,-,2
,,,Ball Delivered,,,
,,,21 Bella Vinson > Cut > Basket > Turnover,,,
,,6:37,Turnover > Any Type > Bella Vinson,,,
BYU,1,6:19,10 Tegan Graham > ISO > Right > Drives Right > To Basket > Make 2 Pts,9,-,4
,,6:19,Shot > Tegan Graham > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,6:37,Player Movement > Sub Out > Away Player > Bella Vinson,,,
,,6:37,Player Movement > Sub In > Away Player > Diana Saleh,,,
LU,1,6:13,15 Blythe Pearson > No Play Type > Turnover,9,-,4
,,6:13,Turnover > Any Type > Blythe Pearson,,,
BYU,1,6:05,13 Paisley Johnson > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,9,-,7
,,6:05,Shot > Paisley Johnson > Any Type > 3 Point Attempt > Make 3 Pts,,,
,,6:05,Misc Stat > Assist > Tegan Graham,,,
,,5:46,Misc Stat > Defensive Rebound > Paisley Johnson,,,
BYU,1,5:42,2 Shaylee Gonzales > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Make 2 Pts,9,-,9
,,5:42,Shot > Shaylee Gonzales > Any Type > 2 Point Attempt > Make 2 Pts,,,
LU,1,5:14,22 Maddie Cook > P&R Ball Handler > High P&R > Go Away from Pick > To Basket > Miss 2 Pts,9,-,9
,,5:14,Shot > Maddie Cook > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,5:10,Misc Stat > Defensive Rebound > Shaylee Gonzales,,,
BYU,1,5:00,12 Lauren Gustin > Spot-Up > No Dribble Jumper > Guarded > Medium/17' to <3p > Make 2 Pts,9,-,11
,,5:00,Shot > Lauren Gustin > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,5:00,Misc Stat > Assist > Shaylee Gonzales,,,
LU,1,4:39,24 Casey Collier > Non Possession > Shot Clock Violation,9,-,11
,,4:39,Player Movement > Sub In > Away Player > Jordan Peete,,,
,,4:39,Player Movement > Sub Out > Away Player > Maddie Cook,,,
,,4:39,Player Movement > Sub In > Away Player > Bella Vinson,,,
,,4:39,Player Movement > Sub Out > Away Player > Diana Saleh,,,
,,4:24,Turnover > Specify Turnover Type > Team Turnover > Away Team,,,
BYU,1,4:01,2 Shaylee Gonzales > Post-Up > Right Block > Left Shoulder > No Dribble Move > To Jumper > Make 2 Pts,9,-,13
,,4:01,Shot > Shaylee Gonzales > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,4:01,Misc Stat > Assist > Paisley Johnson,,,
LU,1,3:45,24 Casey Collier > P&R Ball Handler > Left P&R > Side > Go Away from Pick > Turnover,9,-,13
,,3:45,Player Movement > Sub In > Home Player > Kaylee Smiler,,,
,,3:45,Turnover > Any Type > Casey Collier,,,
,,3:45,Player Movement > Sub In > Home Player > Sara Hamson,,,
,,3:45,Player Movement > Sub Out > Home Player > Maria Albiero,,,
,,3:45,Player Movement > Sub Out > Home Player > Tegan Graham,,,
BYU,1,3:35,11 Kaylee Smiler > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,9,-,16
,,3:35,Shot > Kaylee Smiler > Any Type > 3 Point Attempt > Make 3 Pts,,,
,,3:35,Misc Stat > Assist > Shaylee Gonzales,,,
LU,1,3:18,23 Jaylin Holcomb > P&R Ball Handler > Left P&R > Baseline > Dribble Off Pick > To Basket > Miss 2 Pts,9,-,16
,,3:18,Misc Stat > Team Offensive Rebound > Away,,,
,,3:18,Misc Stat > Block > Sara Hamson,,,
LU,1,3:16,23 Jaylin Holcomb > Off Screen > To Shooter's Right > Straight > Turnover,9,-,16
,,3:16,Turnover > Any Type > Jaylin Holcomb,,,
BYU,1,3:09,13 Paisley Johnson > Off Screen > To Shooter's Right > Straight > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,9,-,16
,,3:09,Shot > Paisley Johnson > Any Type > 3 Point Attempt > Miss 3 Pts,,,
BYU,1,3:04,12 Lauren Gustin > Offensive Rebound > Short > Run Offense,9,-,16
,,3:04,Misc Stat > Offensive Rebound > Lauren Gustin,,,
BYU,1,2:59,2 Shaylee Gonzales > P&R Ball Handler > Left P&R > Baseline > Dribble Off Pick > Dribble Jumper > Medium/17' to <3p > Make 2 Pts,9,-,18
,,2:59,Shot > Shaylee Gonzales > Any Type > 2 Point Attempt > Make 2 Pts,,,
LU,1,2:39,24 Casey Collier > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Dribble Jumper > Medium/17' to <3p > Make 2 Pts,11,-,18
,,2:39,Shot > Casey Collier > Any Type > 2 Point Attempt > Make 2 Pts,,,
BYU,1,2:28,11 Kaylee Smiler > Off Screen > To Shooter's Left > Straight > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,11,-,18
,,2:28,Shot > Kaylee Smiler > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,2:23,Misc Stat > Defensive Rebound > Jordan Peete,,,
LU,1,2:17,23 Jaylin Holcomb > Transition > Left Wing > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,11,-,18
,,2:17,Shot > Jaylin Holcomb > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,2:14,Misc Stat > Defensive Rebound > Lauren Gustin,,,
BYU,1,2:06,2 Shaylee Gonzales > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits,11,-,18
,,,Ball Delivered,,,
,,,12 Lauren Gustin > Spot-Up > Drives Right > To Basket > Miss 2 Pts,,,
,,2:06,Shot > Lauren Gustin > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,2:03,Misc Stat > Defensive Rebound > Blythe Pearson,,,
LU,1,1:41,24 Casey Collier > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > To Basket > Miss 2 Pts,11,-,18
,,1:41,Shot > Casey Collier > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,1:41,Misc Stat > Block > Sara Hamson,,,
,,1:35,Misc Stat > Defensive Rebound > Paisley Johnson,,,
BYU,1,1:31,13 Paisley Johnson > Non Possession > Non Shooting Foul,11,-,18
,,1:31,Personal Foul > Defensive - Any > Jordan Peete,,,
BYU,1,1:31,13 Paisley Johnson > Cut > Screen > Foul,11,-,18
,,1:31,Player Movement > Sub In > Away Player > Diana Saleh,,,
,,1:31,Personal Foul > Defensive - Any > Blythe Pearson,,,
,,1:31,Player Movement > Sub Out > Away Player > Jordan Peete,,,
,,1:31,Player Movement > Sub In > Home Player > Tegan Graham,,,
,,1:31,Player Movement > Sub Out > Home Player > Shaylee Gonzales,,,
BYU,1,1:31,13 Paisley Johnson > Non Possession > Free Throw,11,-,19
,,1:31,Shot > Paisley Johnson > Free Throw > Made,,,
BYU,1,1:31,13 Paisley Johnson > Non Possession > Free Throw,11,-,19
,,1:31,Shot > Paisley Johnson > Free Throw > Missed,,,
,,1:31,Player Movement > Sub In > Home Player > Maria Albiero,,,
,,1:31,Player Movement > Sub Out > Home Player > Lauren Gustin,,,
,,1:31,Misc Stat > Defensive Rebound > Bella Vinson,,,
LU,1,1:10,15 Blythe Pearson > Cut > Flash > Miss 2 Pts,11,-,19
,,1:10,Shot > Blythe Pearson > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,1:05,Misc Stat > Team Offensive Rebound > Away,,,
LU,1,1:04,24 Casey Collier > Non Possession > Out of Bound 5 Sec Violation,11,-,19
,,1:04,Player Movement > Sub Out > Away Player > Jaylin Holcomb,,,
,,1:04,Player Movement > Sub In > Away Player > Maddie Cook,,,
,,1:03,Turnover > Any Type > Casey Collier,,,
,,1:03,Player Movement > Sub Out > Away Player > Casey Collier,,,
,,1:03,Player Movement > Sub In > Away Player > Jaylin Holcomb,,,
BYU,1,0:51,13 Paisley Johnson > Off Screen > To Shooter's Right > Flare > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,11,-,19
,,0:51,Shot > Paisley Johnson > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,0:47,Misc Stat > Defensive Rebound > Diana Saleh,,,
LU,1,0:45,23 Jaylin Holcomb > Transition > Ballhandler > Turnover,11,-,19
,,0:45,Misc Stat > Steal > Tegan Graham,,,
,,0:45,Turnover > Any Type > Jaylin Holcomb,,,
BYU,1,0:35,13 Paisley Johnson > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,11,-,22
,,0:35,Shot > Paisley Johnson > Any Type > 3 Point Attempt > Make 3 Pts,,,
,,0:35,Misc Stat > Assist > Kaylee Smiler,,,
LU,1,0:15,15 Blythe Pearson > P&R Ball Handler > Left P&R > Side > Go Away from Pick > To Basket > Make 2 Pts,13,-,22
,,0:15,Shot > Blythe Pearson > Any Type > 2 Point Attempt > Make 2 Pts,,,
BYU,1,0:04,13 Paisley Johnson > No Play Type > To Basket > Miss 2 Pts,13,-,22
,,0:04,Shot > Paisley Johnson > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,0:04,Misc Stat > Block > Jaylin Holcomb,,,
LU,1,0:00,22 Maddie Cook > No Play Type > Dribble Jumper > Long/3pt > Miss 3 Pts,13,-,22
,,0:00,Misc Stat > Team Defensive Rebound > Away,,,
Play By Play (2nd),,,Period: 1 | 2 | 3 | 4,,,
Team,PER,Time,Data,LU - BYU,,
LU,2,9:47,33 Diana Saleh > Post-Up > Flash Middle > Right Shoulder > No Dribble Move > To Basket > Foul,13,-,22
,,9:47,Personal Foul > Defensive - Any > Tegan Graham,,,
LU,2,9:47,33 Diana Saleh > Non Possession > Free Throw,13,-,22
