"","byu_lineup","lineup_minutes","lineup_plus_minus"
"1","Albiero Gonzales Graham Gustin Johnson",13.58,13
"2","Albiero Graham Hamson Johnson Smiler",5.02,6
"3","Graham Hamson Johnson Johnson Smiler",5,3
"4","Gonzales Gustin Hamson Johnson Smiler",3.05,5
"5","Bubukar Calvert Mackeywilliams Millett Vorwaller",2.9,-21
"6","Albiero Gonzales Graham Hamson Smiler",2.25,-6
"7","Albiero Calvert Hamson Johnson Johnson",1.87,2
"8","Calvert Hamson Johnson Johnson Smiler",1.55,-1
"9","Calvert Gonzales Gustin Johnson Smiler",1.28,1
"10","Bubukar Calvert Falatea Mackeywilliams Vorwaller",1.05,-3
"11","Calvert Falatea Gonzales Gustin Mackeywilliams",0.85,0
"12","Bubukar Calvert Falatea Mackeywilliams Smiler",0.83,0
"13","Calvert Falatea Gustin Johnson Mackeywilliams",0.77,0
