Play By Play (1st),,,Period: 1 | 2 | 3 | 4,,,
Team,PER,Time,Data,BYU - MTS,,
BYU,1,9:46,5 Maria Albiero > Off Screen > To Shooter's Left > Straight > No Dribble Jumper > Open > Medium/17' to <3p > Make 2 Pts,2,-,0
,,9:46,Shot > Maria Albiero > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,9:46,Misc Stat > Assist > Shaylee Gonzales,,,
MTS,1,9:13,0 Darian White > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts,2,-,0
,,9:13,Misc Stat > Defensive Rebound > Shaylee Gonzales,,,
BYU,1,9:05,12 Lauren Gustin > Post-Up > Flash Middle > Post Pin > No Dribble Move > To Basket > Miss 2 Pts,2,-,0
,,9:05,Shot > Lauren Gustin > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,9:05,Misc Stat > Block > Kola Bad Bear,,,
,,9:01,Misc Stat > Defensive Rebound > Kola Bad Bear,,,
MTS,1,8:51,23 Gabby Mocchi > Post-Up > Right Block > Left Shoulder > Dribble Move > To Basket > Make 2 Pts,2,-,2
,,8:51,Shot > Gabby Mocchi > Any Type > 2 Point Attempt > Make 2 Pts,,,
BYU,1,8:35,12 Lauren Gustin > Spot-Up > Drives Right > To Basket > Make 2 Pts,4,-,2
,,8:35,Shot > Lauren Gustin > Any Type > 2 Point Attempt > Make 2 Pts,,,
MTS,1,8:14,11 Katelynn Limardo > Hand Off > From Dribble > Right > Turnover,4,-,2
,,8:14,Turnover > Any Type > Katelynn Limardo,,,
BYU,1,8:03,10 Tegan Graham > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,7,-,2
,,8:03,Shot > Tegan Graham > Any Type > 3 Point Attempt > Make 3 Pts,,,
,,8:03,Misc Stat > Assist > Paisley Harding,,,
MTS,1,7:50,0 Darian White > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > To Basket > Make 2 Pts,7,-,4
,,7:50,Shot > Darian White > Any Type > 2 Point Attempt > Make 2 Pts,,,
BYU,1,7:33,12 Lauren Gustin > Spot-Up > No Dribble Jumper > Open > Medium/17' to <3p > Miss 2 Pts,7,-,4
,,7:33,Shot > Lauren Gustin > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,7:30,Misc Stat > Defensive Rebound > Darian White,,,
MTS,1,7:20,10 Kola Bad Bear > Transition > First Middle > To Basket > Miss 2 Pts,7,-,4
,,7:20,Shot > Kola Bad Bear > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,7:18,Misc Stat > Defensive Rebound > Shaylee Gonzales,,,
BYU,1,7:14,10 Tegan Graham > Transition > Leak Outs > To Basket > Make 2 Pts,9,-,4
,,7:14,Shot > Tegan Graham > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,7:14,Misc Stat > Assist > Shaylee Gonzales,,,
MTS,1,7:00,0 Darian White > P&R Ball Handler > High P&R > Go Away from Pick > Defense Commits > Turnover,9,-,4
,,7:00,Personal Foul > Defensive - Any > Leia Beattie,,,
,,7:00,Misc Stat > Steal > Paisley Harding,,,
,,7:00,Turnover > Any Type > Darian White,,,
BYU,1,6:40,2 Shaylee Gonzales > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,9,-,4
,,6:40,Shot > Shaylee Gonzales > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,6:36,Misc Stat > Defensive Rebound > Katelynn Limardo,,,
MTS,1,6:36,11 Katelynn Limardo > Non Possession > Non Shooting Foul,9,-,4
,,6:36,Personal Foul > Defensive - Any > Shaylee Gonzales,,,
MTS,1,6:25,10 Kola Bad Bear > Post-Up > Flash Middle > Left Shoulder > No Dribble Move > To Hook > Miss 2 Pts,9,-,4
,,6:25,Shot > Kola Bad Bear > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,6:22,Misc Stat > Defensive Rebound > Sara Hamson,,,
BYU,1,6:17,13 Paisley Harding > Spot-Up > Drives Right > To Basket > Foul,9,-,4
,,6:17,Personal Foul > Defensive - Any > Katelynn Limardo,,,
BYU,1,6:17,13 Paisley Harding > Non Possession > Free Throw,10,-,4
,,6:17,Shot > Paisley Harding > Free Throw > Made,,,
BYU,1,6:17,13 Paisley Harding > Non Possession > Free Throw,11,-,4
,,6:17,Shot > Paisley Harding > Free Throw > Made,,,
MTS,1,5:56,0 Darian White > Non Possession > Non Shooting Foul,11,-,4
,,5:56,Personal Foul > Defensive - Any > Maria Albiero,,,
MTS,1,5:53,0 Darian White > Non Possession > Non Shooting Foul,11,-,4
,,5:53,Personal Foul > Defensive - Any > Sara Hamson,,,
MTS,1,5:44,0 Darian White > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits,11,-,4
,,,Ball Delivered,,,
,,,24 Taylor Janssen > Spot-Up > Drives Left > Dribble Jumper > Short to < 17' > Miss 2 Pts,,,
,,5:44,Shot > Taylor Janssen > Any Type > 2 Point Attempt > Miss 2 Pts,,,
