Play By Play (1st),,,Period: 1 | 2 | 3 | 4,,,
Team,PER,Time,Data,BSU - BYU,,
BSU,1,9:38,12 Mary-Kay Naro > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits,3,-,0
,,,Ball Delivered,,,
,,,14 Anna Ostlie > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,,,
,,9:38,Shot > Anna Ostlie > Any Type > 3 Point Attempt > Make 3 Pts,,,
,,9:38,Misc Stat > Assist > Elodie Lalotte,,,
BYU,1,9:23,2 Shaylee Gonzales > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Short to < 17' > Miss 2 Pts,3,-,0
,,9:23,Shot > Shaylee Gonzales > Any Type > 2 Point Attempt > Miss 2 Pts,,,
BYU,1,9:18,2 Shaylee Gonzales > Offensive Rebound > Short > Run Offense,3,-,0
,,9:18,Misc Stat > Offensive Rebound > Shaylee Gonzales,,,
BYU,1,9:17,13 Paisley Johnson > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,3,-,3
,,9:17,Shot > Paisley Johnson > Any Type > 3 Point Attempt > Make 3 Pts,,,
,,9:17,Misc Stat > Assist > Shaylee Gonzales,,,
BSU,1,8:52,23 Elodie Lalotte > Post-Up > Left Block > Turnover,3,-,3
,,8:52,Turnover > Any Type > Elodie Lalotte,,,
BYU,1,8:35,10 Tegan Graham > Spot-Up > Drives Left > To Basket > Make 2 Pts,3,-,5
,,8:35,Shot > Tegan Graham > Any Type > 2 Point Attempt > Make 2 Pts,,,
BSU,1,8:08,15 Dominique Leonidas > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits,3,-,5
,,,Ball Delivered,,,
,,,33 Abby Muse > Spot-Up > Drives Straight > To Basket > Foul,,,
,,8:08,Personal Foul > Defensive - Any > Paisley Johnson,,,
,,8:08,Player Movement > Sub In > Away Player > Rachel Bowers,,,
,,8:08,Player Movement > Sub Out > Away Player > Elodie Lalotte,,,
BSU,1,8:08,33 Abby Muse > Non Possession > Free Throw,4,-,5
,,8:08,Shot > Abby Muse > Free Throw > Made,,,
BSU,1,8:08,33 Abby Muse > Non Possession > Free Throw,4,-,5
,,8:08,Shot > Abby Muse > Free Throw > Missed,,,
,,8:08,Misc Stat > Defensive Rebound > Lauren Gustin,,,
BYU,1,7:53,10 Tegan Graham > Spot-Up > Drives Left > Turnover,4,-,5
,,7:53,Turnover > Any Type > Tegan Graham,,,
BSU,1,7:43,12 Mary-Kay Naro > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits,4,-,5
,,,Ball Delivered,,,
,,,33 Abby Muse > Spot-Up > Drives Straight > Dribble Jumper > Short to < 17' > Miss 2 Pts,,,
,,7:43,Shot > Abby Muse > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,7:39,Misc Stat > Defensive Rebound > Shaylee Gonzales,,,
