Play By Play (1st),,,Period: 1 | 2 | 3 | 4,,,
Team,PER,Time,Data,USU - BYU,,
USU,1,9:47,14 Manna Mensah > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits,,,
,,,Ball Delivered,,,
,,,21 Kaylin Randhawa > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,,,
,,9:47,Shot > Kaylin Randhawa > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,9:44,Misc Stat > Defensive Rebound > Tegan Graham,,,
BYU,1,9:18,13 Paisley Johnson > P&R Ball Handler > Left P&R > Side > Defense Commits,0,-,2
,,,Ball Delivered,,,
,,,12 Lauren Gustin > Cut > Flash > Make 2 Pts,,,
,,9:18,Shot > Lauren Gustin > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,9:18,Misc Stat > Assist > Tegan Graham,,,
USU,1,9:07,3 Laci Hawthorne > Post-Up > Right Block > Right Shoulder > Dribble Move > To Jumper > Miss 2 Pts,0,-,2
,,9:07,Shot > Laci Hawthorne > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,9:02,Misc Stat > Defensive Rebound > Maria Albiero,,,
BYU,1,8:55,2 Shaylee Gonzales > Spot-Up > Drives Left > To Basket > Make 2 Pts,0,-,4
,,8:55,Shot > Shaylee Gonzales > Any Type > 2 Point Attempt > Make 2 Pts,,,
USU,1,8:39,4 E'Lease Stafford > Post-Up > Left Block > Face-up > Drive Middle > Miss 2 Pts,0,-,4
,,8:39,Shot > E'lease Stafford > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,8:39,Misc Stat > Block > Tegan Graham,,,
,,8:38,Misc Stat > Team Offensive Rebound > Away,,,
USU,1,8:29,14 Manna Mensah > No Play Type > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts,0,-,4
,,8:29,Shot > Manna Mensah > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,8:27,Misc Stat > Team Defensive Rebound > Home,,,
BYU,1,8:13,12 Lauren Gustin > Cut > Flash > Make 2 Pts,0,-,6
,,8:13,Shot > Lauren Gustin > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,8:13,Misc Stat > Assist > Shaylee Gonzales,,,
USU,1,8:00,15 Olivia Wikstrom > Hand Off > From Dribble > Top > Turnover,0,-,6
,,8:00,Turnover > Any Type > Olivia Wikstrom,,,
,,8:00,Misc Stat > Steal > Lauren Gustin,,,
BYU,1,7:53,10 Tegan Graham > Transition > Right Wing > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,0,-,6
,,7:53,Shot > Tegan Graham > Any Type > 3 Point Attempt > Miss 3 Pts,,,
BYU,1,7:50,13 Paisley Johnson > Offensive Rebound > Short > Run Offense,0,-,6
,,7:50,Misc Stat > Offensive Rebound > Paisley Johnson,,,
BYU,1,7:47,10 Tegan Graham > Spot-Up > Drives Right > Dribble Jumper > Short to < 17' > Make 2 Pts,0,-,8
,,7:47,Shot > Tegan Graham > Any Type > 2 Point Attempt > Make 2 Pts,,,
USU,1,7:38,14 Manna Mensah > Non Possession > Non Shooting Foul,0,-,8
,,7:38,Player Movement > Sub Out > Away Player > Laci Hawthorne,,,
,,7:38,Player Movement > Sub Out > Away Player > Olivia Wikstrom,,,
,,7:38,Personal Foul > Defensive - Any > Maria Albiero,,,
,,7:38,Player Movement > Sub Out > Away Player > Manna Mensah,,,
,,7:38,Player Movement > Sub In > Away Player > Faith Brantley,,,
,,7:38,Player Movement > Sub In > Away Player > Shyla Latone,,,
,,7:38,Player Movement > Sub In > Away Player > Adryana Quezada,,,
USU,1,7:25,4 E'Lease Stafford > No Play Type > Turnover,0,-,8
,,7:25,Turnover > Any Type > E'lease Stafford,,,
BYU,1,7:03,12 Lauren Gustin > Post-Up > Right Block > Face-up > Defense Commits,0,-,8
,,,Ball Delivered,,,
,,,5 Maria Albiero > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,,,
,,7:03,Shot > Maria Albiero > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,6:59,Misc Stat > Defensive Rebound > Kaylin Randhawa,,,
USU,1,6:51,21 Kaylin Randhawa > No Play Type > Turnover,0,-,8
,,6:51,Misc Stat > Steal > Lauren Gustin,,,
,,6:51,Turnover > Any Type > Kaylin Randhawa,,,
,,6:50,Personal Foul > Defensive - Any > Adryana Quezada,,,
BYU,1,6:40,2 Shaylee Gonzales > Hand Off > From Dribble > Left > To Basket > Miss 2 Pts,0,-,8
,,6:40,Shot > Shaylee Gonzales > Any Type > 2 Point Attempt > Miss 2 Pts,,,
BYU,1,6:37,2 Shaylee Gonzales > Offensive Rebound > Short > Run Offense,0,-,8
,,6:37,Misc Stat > Offensive Rebound > Shaylee Gonzales,,,
BYU,1,6:35,10 Tegan Graham > Non Possession > Non Shooting Foul,0,-,8
,,6:35,Personal Foul > Defensive - Any > Faith Brantley,,,
BYU,1,6:25,12 Lauren Gustin > Post-Up > Flash Middle > Post Pin > No Dribble Move > To Basket > Make 2 Pts Foul > 1 Pts,0,-,11
,,6:25,Shot > Lauren Gustin > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,6:25,Player Movement > Sub In > Away Player > Laci Hawthorne,,,
,,6:25,Personal Foul > Defensive - Any > Adryana Quezada,,,
,,6:25,Player Movement > Sub Out > Away Player > Adryana Quezada,,,
,,6:25,Misc Stat > Assist > Tegan Graham,,,
BYU,1,6:25,12 Lauren Gustin > Non Possession > Free Throw,0,-,9
,,6:25,Shot > Lauren Gustin > Free Throw > Made,,,
USU,1,6:15,3 Laci Hawthorne > Spot-Up > Drives Right > To Basket > Make 2 Pts,2,-,11
,,6:15,Shot > Laci Hawthorne > Any Type > 2 Point Attempt > Make 2 Pts,,,
BYU,1,6:09,13 Paisley Johnson > Transition > Right Wing > To Basket > Foul,2,-,11
,,6:09,Personal Foul > Defensive - Any > Laci Hawthorne,,,
BYU,1,6:09,13 Paisley Johnson > Non Possession > Free Throw,2,-,12
,,6:09,Shot > Paisley Johnson > Free Throw > Made,,,
BYU,1,6:09,13 Paisley Johnson > Non Possession > Free Throw,2,-,13
,,6:09,Shot > Paisley Johnson > Free Throw > Made,,,
USU,1,5:52,4 E'Lease Stafford > ISO > Left > Early Jumper > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,2,-,13
,,5:52,Shot > E'lease Stafford > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,5:48,Misc Stat > Team Defensive Rebound > Home,,,
BYU,1,5:36,13 Paisley Johnson > Off Screen > To Shooter's Right > Straight > No Dribble Jumper > Open > Medium/17' to <3p > Miss 2 Pts,2,-,13
,,5:36,Shot > Paisley Johnson > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,5:32,Player Movement > Sub In > Away Player > Emmie Harris,,,
,,5:32,Player Movement > Sub Out > Away Player > E'lease Stafford,,,
,,5:32,Misc Stat > Team Defensive Rebound > Away,,,
USU,1,5:07,3 Laci Hawthorne > Post-Up > Right Block > Left Shoulder > Dribble Move > To Drop Step > Turnover,2,-,13
,,5:07,Turnover > Any Type > Laci Hawthorne,,,
BYU,1,4:50,5 Maria Albiero > Cut > Flash > Miss 2 Pts,2,-,13
,,4:50,Shot > Maria Albiero > Any Type > 2 Point Attempt > Miss 2 Pts,,,
