Play By Play (1st),,,Period: 1 | 2 | 3 | 4,,,
Team,PER,Time,Data,BYU - UWV,,
BYU,1,9:57,2 Shaylee Gonzales > No Play Type > To Basket > Make 2 Pts,2,-,0
,,9:57,Shot > Shaylee Gonzales > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,9:57,Misc Stat > Assist > Tegan Graham,,,
UWV,1,9:42,12 Esmery Martinez > Non Possession > Non Shooting Foul,2,-,0
,,9:42,Personal Foul > Defensive - Any > Tegan Graham,,,
UWV,1,9:42,14 Kari Niblack > No Play Type > Turnover,2,-,0
,,9:42,Personal Foul > Offensive Foul - Player Control > Kari Niblack,,,
,,9:42,Turnover > Any Type > Kari Niblack,,,
BYU,1,9:25,10 Tegan Graham > No Play Type > Turnover,2,-,0
,,9:25,Misc Stat > Steal > Madisen Smith,,,
,,9:25,Turnover > Any Type > Tegan Graham,,,
UWV,1,9:08,12 Esmery Martinez > Post-Up > Left Block > Defense Commits,2,-,2
,,,Ball Delivered,,,
,,,14 Kari Niblack > Cut > Basket > Make 2 Pts,,,
,,9:08,Shot > Kari Niblack > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,9:08,Misc Stat > Assist > Esmery Martinez,,,
BYU,1,8:51,12 Lauren Gustin > Post-Up > Flash Middle > Post Pin > No Dribble Move > To Basket > Foul,2,-,2
,,8:51,Player Movement > Sub Out > Home Player > Kari Niblack,,,
,,8:51,Player Movement > Sub In > Home Player > Blessing Ejiofor,,,
,,8:51,Personal Foul > Defensive - Any > Kari Niblack,,,
BYU,1,8:51,12 Lauren Gustin > Non Possession > Free Throw,3,-,2
,,8:51,Shot > Lauren Gustin > Free Throw > Made,,,
,,8:51,Misc Stat > Team Offensive Rebound > Away,,,
BYU,1,8:51,12 Lauren Gustin > Non Possession > Free Throw,3,-,2
,,8:51,Shot > Lauren Gustin > Free Throw > Missed,,,
UWV,1,8:36,0 Jayla Hemingway > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > To Basket > Foul,3,-,3
,,8:36,Personal Foul > Defensive - Any > Paisley Johnson,,,
UWV,1,8:36,0 Jayla Hemingway > Non Possession > Free Throw,3,-,3
,,8:36,Shot > Jayla Hemingway > Free Throw > Made,,,
UWV,1,8:36,0 Jayla Hemingway > Non Possession > Free Throw,3,-,4
,,8:36,Shot > Jayla Hemingway > Free Throw > Made,,,
BYU,1,8:24,10 Tegan Graham > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,6,-,4
,,8:24,Shot > Tegan Graham > Any Type > 3 Point Attempt > Make 3 Pts,,,
,,8:24,Misc Stat > Assist > Maria Albiero,,,
UWV,1,8:08,3 Kirsten Deans > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Defense Commits,6,-,6
,,,Ball Delivered,,,
,,,12 Esmery Martinez > P&R Roll Man > Pick and Pops > Drives Left > To Basket > Make 2 Pts,,,
,,8:08,Shot > Esmery Martinez > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,8:08,Misc Stat > Assist > Kirsten Deans,,,
BYU,1,7:50,10 Tegan Graham > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,9,-,6
,,7:50,Shot > Tegan Graham > Any Type > 3 Point Attempt > Make 3 Pts,,,
,,7:50,Misc Stat > Assist > Lauren Gustin,,,
UWV,1,7:27,12 Esmery Martinez > ISO > Top > Turnover,9,-,6
,,7:27,Misc Stat > Steal > Paisley Johnson,,,
,,7:27,Turnover > Any Type > Esmery Martinez,,,
BYU,1,7:20,10 Tegan Graham > Transition > Trailer > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,9,-,6
,,7:20,Shot > Tegan Graham > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,7:17,Misc Stat > Defensive Rebound > Blessing Ejiofor,,,
UWV,1,7:08,30 Madisen Smith > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits,9,-,8
,,,Ball Delivered,,,
,,,12 Esmery Martinez > P&R Roll Man > Pick and Pops > No Dribble Jumper > Open > Medium/17' to <3p > Make 2 Pts,,,
,,7:08,Shot > Esmery Martinez > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,7:08,Misc Stat > Assist > Madisen Smith,,,
BYU,1,6:46,5 Maria Albiero > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,9,-,8
