"","byu_lineup","lineup_minutes","lineup_plus_minus"
"1","Albiero Gonzales Graham Gustin Johnson",10.43,22
"2","Bubakar Calvert Falatea Hamson Mackeywilliams",7.22,-9
"3","Albiero Calvert Graham Gustin Johnson",2.87,7
"4","Bubakar Calvert Mackeywilliams Millett Vorwaller",2.75,-24
"5","Albiero Falatea Gonzales Graham Gustin",1.92,-2
"6","Falatea Gonzales Graham Gustin Johnson",1.88,4
"7","Albiero Falatea Graham Gustin Johnson",1.82,-1
"8","Albiero Gonzales Graham Hamson Johnson",1.8,6
"9","Calvert Gonzales Graham Johnson Mackeywilliams",1.7,-2
"10","Calvert Falatea Graham Hamson Mackeywilliams",1.62,-3
"11","Albiero Calvert Falatea Gustin Johnson",1.38,0
"12","Albiero Graham Hamson Johnson Mackeywilliams",1.27,-6
"13","Gonzales Graham Hamson Johnson Mackeywilliams",1.13,2
"14","Falatea Gonzales Gustin Hamson Johnson",1.1,3
"15","Calvert Falatea Gonzales Gustin Johnson",0.5,2
"16","Bubakar Falatea Graham Hamson Mackeywilliams",0.33,1
"17","Albiero Graham Gustin Johnson Mackeywilliams",0.28,0
