Play By Play (1st),,,Period: 1 | 2 | 3 | 4,,,
Team,PER,Time,Data,BYU - UT,,
BYU,1,9:48,2 Shaylee Gonzales > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits,,,
,,,Ball Delivered,,,
,,,22 Sara Hamson > P&R Roll Man > Rolls to Basket > Miss 2 Pts,,,
,,9:48,Shot > Sara Hamson > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,9:45,Misc Stat > Defensive Rebound > Kennady Mcqueen,,,
UT,1,9:36,22 Jenna Johnson > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,,,
,,9:36,Shot > Jenna Johnson > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,9:33,Misc Stat > Defensive Rebound > Sara Hamson,,,
BYU,1,9:29,10 Tegan Graham > Transition > Left Wing > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,3,-,0
,,9:29,Shot > Tegan Graham > Any Type > 3 Point Attempt > Make 3 Pts,,,
,,9:29,Misc Stat > Assist > Shaylee Gonzales,,,
UT,1,8:57,11 Brynna Maxwell > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,3,-,0
,,8:57,Shot > Brynna Maxwell > Any Type > 3 Point Attempt > Miss 3 Pts,,,
UT,1,8:52,10 Dru Gylten > Offensive Rebound > Long > Scoring Attempt > At Basket > Make 2 Pts,3,-,2
,,8:52,Shot > Dru Gylten > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,8:53,Misc Stat > Offensive Rebound > Dru Gylten,,,
BYU,1,8:32,13 Paisley Harding > ISO > Top > Drives Left > To Basket > Make 2 Pts Foul > 0 Pts,5,-,2
,,8:32,Shot > Paisley Harding > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,8:32,Personal Foul > Defensive - Any > Dasia Young,,,
BYU,1,8:32,13 Paisley Harding > Non Possession > Free Throw,5,-,2
,,8:32,Shot > Paisley Harding > Free Throw > Missed,,,
,,8:30,Misc Stat > Defensive Rebound > Dasia Young,,,
UT,1,8:21,10 Dru Gylten > Non Possession > Non Shooting Foul,5,-,2
,,8:21,Personal Foul > Defensive - Any > Sara Hamson,,,
UT,1,8:09,10 Dru Gylten > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits,5,-,2
,,,Ball Delivered,,,
,,,24 Kennady Mcqueen > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,,,
,,8:09,Shot > Kennady Mcqueen > Any Type > 3 Point Attempt > Miss 3 Pts,,,
UT,1,8:05,34 Dasia Young > Offensive Rebound > Short > Run Offense,5,-,2
,,8:05,Misc Stat > Offensive Rebound > Dasia Young,,,
UT,1,7:58,34 Dasia Young > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,5,-,2
,,7:58,Shot > Dasia Young > Any Type > 3 Point Attempt > Miss 3 Pts,,,
UT,1,7:54,22 Jenna Johnson > Offensive Rebound > Long > Turnover,5,-,2
,,7:54,Misc Stat > Offensive Rebound > Jenna Johnson,,,
,,7:48,Turnover > Any Type > Jenna Johnson,,,
BYU,1,7:50,2 Shaylee Gonzales > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits,5,-,2
,,,Ball Delivered,,,
,,,10 Tegan Graham > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,,,
,,7:50,Shot > Tegan Graham > Any Type > 3 Point Attempt > Miss 3 Pts,,,
BYU,1,7:50,22 Sara Hamson > Offensive Rebound > Short > Turnover,5,-,2
,,7:50,Misc Stat > Offensive Rebound > Sara Hamson,,,
,,7:48,Turnover > Any Type > Sara Hamson,,,
,,7:48,Misc Stat > Steal > Dru Gylten,,,
UT,1,7:21,11 Brynna Maxwell > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits,5,-,4
,,,Ball Delivered,,,
,,,22 Jenna Johnson > P&R Roll Man > Rolls to Basket > Make 2 Pts,,,
,,7:21,Shot > Jenna Johnson > Any Type > 2 Point Attempt > Make 2 Pts,,,
