"","byu_lineup","lineup_minutes","lineup_plus_minus"
"1","Albiero Gonzales Graham Gustin Johnson",12.4,10
"2","Albiero Falatea Gonzales Graham Gustin",3.87,-7
"3","Falatea Graham Gustin Gustin Johnson",3.6,1
"4","Albiero Falatea Graham Gustin Johnson",3.35,-4
"5","Albiero Calvert Gonzales Graham Johnson",2.35,0
"6","Albiero Calvert Gonzales Graham Hamson",1.7,4
"7","Albiero Calvert Falatea Gonzales Gustin",1.38,-3
"8","Gonzales Graham Hamson Johnson Johnson",1.25,-3
"9","Albiero Graham Hamson Johnson Johnson",1.02,-2
"10","Albiero Gonzales Graham Hamson Johnson",0.97,0
"11","Falatea Gonzales Graham Gustin Johnson",0.38,0
