"Name","Age","Pos","Ft","Inches","Exp","Games","Starts","FGm","FGa","FGper","THREEpm","THREEpa","THREEper","TWOpm","TWOpa","TWOper","FTm","FTa","FTper","OREB","DREB","TREB","Assists","Steals","Blocks","TOV","Fouls","Points"
"Shaylee Gonzales",21,"SG",5,10,1,"0","0","102","203","50.246305418719217","18","56","32.142857142857146","84","147","57.142857142857139","3","4","75","49","42","91","38","37","1","20","0","225"
"Nani Falatea",21,"PG",5,9,0,"0","0","51","152","33.55263157894737","24","85","28.235294117647058","27","67","40.298507462686565","0","0","0","11","62","73","26","23","3","35","0","126"
"Devry Millett",21,"SG",5,10,1,"0","0","38","126","30.158730158730158","25","85","29.411764705882355","13","41","31.707317073170731","0","0","0","5","34","39","6","7","0","20","0","101"
"Maria Albiero",21,"PG",5,8,3,"0","0","81","176","46.022727272727273","19","56","33.928571428571431","62","120","51.666666666666671","0","0","0","6","34","40","70","30","0","31","0","181"
"Tegan Graham",21,"SG",6,0,4,"0","0","84","193","43.523316062176164","48","127","37.795275590551178","36","66","54.54545454545454","1","1","100","14","52","66","52","31","1","20","0","217"
"Kaylee Smiler",21,"PG",5,8,1,"0","0","50","137","36.496350364963504","30","84","35.714285714285715","20","53","37.735849056603776","1","2","50","7","36","43","49","19","3","15","0","131"
"Lauren Gustin",21,"SF",6,1,1,"0","0","123","228","53.94736842105263","1","7","14.285714285714285","122","221","55.203619909502265","4","6","66.666666666666657","65","135","200","18","29","1","19","0","251"
"Paisley Harding",21,"PG",5,9,3,"0","0","159","321","49.532710280373834","42","118","35.593220338983052","117","203","57.635467980295566","4","5","80","30","49","79","53","42","3","29","0","364"
"Sara Hamson",21,"C",6,7,3,"0","0","79","135","58.518518518518512","0","0","0","79","135","58.518518518518512","2","2","100","37","79","116","12","13","31","17","0","160"
"Kate Vorwaller",21,"PG",5,9,0,"0","0","49","116","42.241379310344826","14","31","45.161290322580641","35","85","41.17647058823529","0","0","0","14","27","41","6","10","0","26","0","112"
"Signe Glantz",21,"SF",6,1,2,"0","0","18","50","36","10","29","34.482758620689658","8","21","38.095238095238095","0","0","0","3","7","10","0","4","0","6","0","46"
"Heather Hamson",21,"PF",6,3,0,"0","0","30","73","41.095890410958901","0","2","0","30","71","42.25352112676056","0","0","0","18","44","62","1","4","2","15","0","60"
"Emma Calvert",21,"PF",6,4,0,"0","0","84","194","43.298969072164951","29","88","32.954545454545453","55","106","51.886792452830186","2","2","100","24","61","85","7","14","4","24","0","199"
"Amanda Barcello",21,"SG",5,11,0,"0","0","3","7","42.857142857142854","2","3","66.666666666666657","1","4","25","0","0","0","7","2","9","2","1","0","5","0","8"
"Arielle Mackey-Williams",21,"PG",5,9,0,"0","0","48","144","33.333333333333329","25","79","31.645569620253166","23","65","35.384615384615387","0","0","0","8","15","19","11","27","0","39","0","121"
"Rose Bubakar",21,"SF",6,0,0,"0","0","42","145","28.965517241379313","12","54","22.222222222222221","30","91","32.967032967032964","1","4","25","28","68","96","9","18","4","32","0","97"
