"Name","Age","Pos","Ft","Inches","Exp","Games","Starts","FGm","FGa","FGper","THREEpm","THREEpa","THREEper","TWOpm","TWOpa","TWOper","FTm","FTa","FTper","OREB","DREB","TREB","Assists","Steals","Blocks","TOV","Fouls","Points"
"Shaylee Gonzales",21,"SG",5,10,1,"0","0","123","245","50.204081632653065","22","67","32.835820895522389","101","178","56.741573033707873","3","4","75","61","53","114","53","50","1","22","0","271"
"Nani Falatea",21,"PG",5,9,0,"0","0","60","186","32.258064516129032","29","101","28.71287128712871","31","85","36.470588235294116","0","0","0","12","78","90","42","27","3","43","0","149"
"Devry Millett",21,"SG",5,10,1,"0","0","49","161","30.434782608695656","31","107","28.971962616822427","18","54","33.333333333333329","0","0","0","5","37","42","9","10","0","26","0","129"
"Maria Albiero",21,"PG",5,8,3,"0","0","93","204","45.588235294117645","23","67","34.328358208955223","70","137","51.094890510948908","0","0","0","9","36","45","84","37","0","33","0","209"
"Tegan Graham",21,"SG",6,0,4,"0","0","113","250","45.2","70","169","41.42011834319527","43","81","53.086419753086425","1","1","100","15","65","80","65","34","4","25","0","297"
"Kaylee Smiler",21,"PG",5,8,1,"0","0","57","153","37.254901960784316","32","92","34.782608695652172","25","61","40.983606557377051","1","2","50","7","40","47","52","21","4","18","0","147"
"Lauren Gustin",21,"SF",6,1,1,"0","0","150","272","55.147058823529413","1","7","14.285714285714285","149","265","56.226415094339622","4","6","66.666666666666657","80","157","237","22","32","1","25","0","305"
"Paisley Harding",21,"PG",5,9,3,"0","0","194","388","50","50","136","36.764705882352942","144","252","57.142857142857139","4","5","80","33","58","91","65","48","4","31","0","442"
"Sara Hamson",21,"C",6,7,3,"0","0","107","176","60.79545454545454","0","0","0","107","176","60.79545454545454","2","2","100","50","100","150","19","15","37","18","0","216"
"Kate Vorwaller",21,"PG",5,9,0,"0","0","61","154","39.61038961038961","18","45","40","43","109","39.449541284403672","0","0","0","16","39","55","9","16","0","35","0","140"
"Signe Glantz",21,"SF",6,1,2,"0","0","21","60","35","11","34","32.352941176470587","10","26","38.461538461538467","0","0","0","4","9","13","0","5","0","6","0","53"
"Heather Hamson",21,"PF",6,3,0,"0","0","46","104","44.230769230769226","0","3","0","46","101","45.544554455445549","0","0","0","24","56","80","1","6","3","16","0","92"
"Emma Calvert",21,"PF",6,4,0,"0","0","117","253","46.245059288537547","38","110","34.545454545454547","79","143","55.24475524475524","2","2","100","31","73","104","7","17","6","37","0","274"
"Amanda Barcello",21,"SG",5,11,0,"0","0","5","11","45.454545454545453","3","5","60","2","6","33.333333333333329","0","0","0","10","6","16","2","1","0","5","0","13"
"Arielle Mackey-Williams",21,"PG",5,9,0,"0","0","65","178","36.516853932584269","32","94","34.042553191489361","33","84","39.285714285714285","0","0","0","11","15","19","14","39","1","50","0","162"
"Rose Bubakar",21,"SF",6,0,0,"0","0","55","176","31.25","14","61","22.950819672131146","41","115","35.652173913043477","1","4","25","34","80","114","11","26","4","40","0","125"
