"No.","Name","Games","Starts","Fouls","DREB","OREB","TREB","TOV","Steals","TOVminSTL","Blocks","Assists","Charges","TWOpa","TWOpm","TWOper","THREEpa","THREEpm","THREEper","FGa","FGm","FGper","FTa","FTm","FTper","TOTa","TOTm","TOTper","Points"
"2","Shaylee Gonzales","0","0","0","53","61","114","22","50","28","1","53","0","178","101","56.741573033707873","67","22","32.835820895522389","245","123","50.204081632653065","4","3","75","249","126","50.602409638554214","271"
"3","Nani Falatea","0","0","0","78","12","90","43","27","-16","3","42","0","85","31","36.470588235294116","101","29","28.71287128712871","186","60","32.258064516129032","0","0","0","186","60","32.258064516129032","149"
"20","Devry Millett","0","0","0","37","5","42","26","10","-16","0","9","0","54","18","33.333333333333329","107","31","28.971962616822427","161","49","30.434782608695656","0","0","0","161","49","30.434782608695656","129"
"5","Maria Albiero","0","0","0","36","9","45","33","37","4","0","84","0","137","70","51.094890510948908","67","23","34.328358208955223","204","93","45.588235294117645","0","0","0","204","93","45.588235294117645","209"
"10","Tegan Graham","0","0","0","65","15","80","25","34","9","4","65","0","81","43","53.086419753086425","169","70","41.42011834319527","250","113","45.2","1","1","100","251","114","45.418326693227087","297"
"11","Kaylee Smiler","0","0","0","40","7","47","18","21","3","4","52","0","61","25","40.983606557377051","92","32","34.782608695652172","153","57","37.254901960784316","2","1","50","155","58","37.41935483870968","147"
"12","Lauren Gustin","0","0","0","157","80","237","25","32","7","1","22","0","265","149","56.226415094339622","7","1","14.285714285714285","272","150","55.147058823529413","6","4","66.666666666666657","278","154","55.39568345323741","305"
"13","Paisley Harding","0","0","0","58","33","91","31","48","17","4","65","0","252","144","57.142857142857139","136","50","36.764705882352942","388","194","50","5","4","80","393","198","50.381679389312971","442"
"22","Sara Hamson","0","0","0","100","50","150","18","15","-3","37","19","0","176","107","60.79545454545454","0","0","0","176","107","60.79545454545454","2","2","100","178","109","61.235955056179783","216"
"30","Kate Vorwaller","0","0","0","39","16","55","35","16","-19","0","9","0","109","43","39.449541284403672","45","18","40","154","61","39.61038961038961","0","0","0","154","61","39.61038961038961","140"
"32","Signe Glantz","0","0","0","9","4","13","6","5","-1","0","0","0","26","10","38.461538461538467","34","11","32.352941176470587","60","21","35","0","0","0","60","21","35","53"
NA,"Heather Hamson","0","0","0","56","24","80","16","6","-10","3","1","0","101","46","45.544554455445549","3","0","0","104","46","44.230769230769226","0","0","0","104","46","44.230769230769226","92"
NA,"Emma Calvert","0","0","0","73","31","104","37","17","-20","6","7","0","143","79","55.24475524475524","110","38","34.545454545454547","253","117","46.245059288537547","2","2","100","255","119","46.666666666666664","274"
"1","Amanda Barcello","0","0","0","6","10","16","5","1","-4","0","2","0","6","2","33.333333333333329","5","3","60","11","5","45.454545454545453","0","0","0","11","5","45.454545454545453","13"
"4","Arielle Mackey-Williams","0","0","0","15","11","19","50","39","-11","1","14","0","84","33","39.285714285714285","94","32","34.042553191489361","178","65","36.516853932584269","0","0","0","178","65","36.516853932584269","162"
NA,"Rose Bubakar","0","0","0","80","34","114","40","26","-14","4","11","0","115","41","35.652173913043477","61","14","22.950819672131146","176","55","31.25","4","1","25","180","56","31.111111111111111","125"
NA,"TEAM",NA,NA,"0",NA,"402",NA,"433","390","-43","68","461","0","1893","949","50.132065504490228","1107","375","33.875338753387538","3000","1324","44.133333333333333","27","18","66.666666666666657","3027","1342","44.334324413610837","3041"
