"Name","Age","Pos","Ft","Inches","Exp","Games","Starts","FGm","FGa","FGper","THREEpm","THREEpa","THREEper","TWOpm","TWOpa","TWOper","FTm","FTa","FTper","OREB","DREB","TREB","Assists","Steals","Blocks","TOV","Fouls","Points"
"Shaylee Gonzales",21,"SG",5,10,1,"0","0","111","218","50.917431192660544","21","62","33.87096774193548","90","156","57.692307692307686","3","4","75","56","47","103","41","40","1","20","0","246"
"Nani Falatea",21,"PG",5,9,0,"0","0","54","166","32.53012048192771","26","92","28.260869565217391","28","74","37.837837837837839","0","0","0","11","69","80","29","23","3","39","0","134"
"Devry Millett",21,"SG",5,10,1,"0","0","43","141","30.49645390070922","28","95","29.473684210526311","15","46","32.608695652173914","0","0","0","5","35","40","7","8","0","21","0","114"
"Maria Albiero",21,"PG",5,8,3,"0","0","85","184","46.195652173913047","20","59","33.898305084745758","65","125","52","0","0","0","6","34","40","71","31","0","32","0","190"
"Tegan Graham",21,"SG",6,0,4,"0","0","93","210","44.285714285714285","54","139","38.848920863309353","39","71","54.929577464788736","1","1","100","14","58","72","55","31","2","22","0","241"
"Kaylee Smiler",21,"PG",5,8,1,"0","0","53","144","36.805555555555557","30","86","34.883720930232556","23","58","39.655172413793103","1","2","50","7","38","45","49","19","3","17","0","137"
"Lauren Gustin",21,"SF",6,1,1,"0","0","133","243","54.732510288065839","1","7","14.285714285714285","132","236","55.932203389830505","4","6","66.666666666666657","71","145","216","19","30","1","21","0","271"
"Paisley Harding",21,"PG",5,9,3,"0","0","167","340","49.117647058823529","44","124","35.483870967741936","123","216","56.944444444444443","4","5","80","30","54","84","54","44","4","30","0","382"
"Sara Hamson",21,"C",6,7,3,"0","0","96","161","59.627329192546583","0","0","0","96","161","59.627329192546583","2","2","100","43","86","129","15","14","34","17","0","194"
"Kate Vorwaller",21,"PG",5,9,0,"0","0","53","133","39.849624060150376","17","40","42.5","36","93","38.70967741935484","0","0","0","15","31","46","7","12","0","30","0","123"
"Signe Glantz",21,"SF",6,1,2,"0","0","21","60","35","11","34","32.352941176470587","10","26","38.461538461538467","0","0","0","4","9","13","0","5","0","6","0","53"
"Heather Hamson",21,"PF",6,3,0,"0","0","38","87","43.678160919540232","0","3","0","38","84","45.238095238095241","0","0","0","22","48","70","1","4","3","16","0","76"
"Emma Calvert",21,"PF",6,4,0,"0","0","97","219","44.292237442922371","33","99","33.333333333333329","64","120","53.333333333333336","2","2","100","25","67","92","7","16","5","34","0","229"
"Amanda Barcello",21,"SG",5,11,0,"0","0","3","8","37.5","2","4","50","1","4","25","0","0","0","8","4","12","2","1","0","5","0","8"
"Arielle Mackey-Williams",21,"PG",5,9,0,"0","0","55","158","34.810126582278485","29","87","33.333333333333329","26","71","36.619718309859159","0","0","0","9","15","19","12","31","1","44","0","139"
"Rose Bubakar",21,"SF",6,0,0,"0","0","47","160","29.375","13","58","22.413793103448278","34","102","33.333333333333329","1","4","25","32","74","106","10","21","4","36","0","108"
