"Name","Age","Pos","Ft","Inches","Exp","Games","Starts","FGm","FGa","FGper","THREEpm","THREEpa","THREEper","TWOpm","TWOpa","TWOper","FTm","FTa","FTper","OREB","DREB","TREB","Assists","Steals","Blocks","TOV","Fouls","Points"
"Shaylee Gonzales",21,"SG",5,10,1,"0","0","125","259","48.262548262548258","22","74","29.72972972972973","103","185","55.67567567567567","3","4","75","66","55","121","56","54","1","23","0","275"
"Nani Falatea",21,"PG",5,9,0,"0","0","63","197","31.979695431472084","29","107","27.102803738317753","34","90","37.777777777777779","0","0","0","12","79","91","43","27","3","45","0","155"
"Devry Millett",21,"SG",5,10,1,"0","0","51","168","30.357142857142854","33","113","29.20353982300885","18","55","32.727272727272727","0","0","0","5","37","42","10","11","0","27","0","135"
"Maria Albiero",21,"PG",5,8,3,"0","0","99","218","45.412844036697244","24","71","33.802816901408448","75","147","51.020408163265309","0","0","0","9","39","48","84","40","0","34","0","222"
"Tegan Graham",21,"SG",6,0,4,"0","0","116","258","44.961240310077521","72","176","40.909090909090914","44","82","53.658536585365859","1","1","100","15","70","85","65","35","4","27","0","305"
"Kaylee Smiler",21,"PG",5,8,1,"0","0","60","158","37.974683544303801","33","94","35.106382978723403","27","64","42.1875","1","2","50","7","42","49","54","22","4","19","0","154"
"Lauren Gustin",21,"SF",6,1,1,"0","0","159","287","55.400696864111495","1","7","14.285714285714285","158","280","56.428571428571431","4","6","66.666666666666657","88","161","249","23","34","1","27","0","323"
"Paisley Harding",21,"PG",5,9,3,"0","0","203","402","50.49751243781094","54","143","37.76223776223776","149","259","57.528957528957527","4","5","80","34","59","93","67","50","4","32","0","464"
"Sara Hamson",21,"C",6,7,3,"0","0","111","181","61.325966850828728","0","0","0","111","181","61.325966850828728","2","2","100","51","101","152","21","15","40","18","0","224"
"Kate Vorwaller",21,"PG",5,9,0,"0","0","65","165","39.393939393939391","19","46","41.304347826086953","46","119","38.655462184873954","0","0","0","16","41","57","9","16","0","36","0","149"
"Signe Glantz",21,"SF",6,1,2,"0","0","23","67","34.328358208955223","11","38","28.947368421052634","12","29","41.379310344827587","0","0","0","4","9","13","0","5","0","9","0","57"
"Kyra Beckman",34,"PF",6,2,0,"0","0","0","5","0","0","1","0","0","4","0","0","0","0","0","5","5","1","1","0","1","0","0"
"Kayla Belles-Lee",42,"PF",6,3,3,"0","0","6","12","50","0","2","0","6","10","60","0","1","0","0","4","4","1","4","0","0","0","12"
"Heather Hamson",21,"PF",6,3,0,"0","0","49","108","45.370370370370374","0","3","0","49","105","46.666666666666664","0","0","0","24","61","85","1","6","3","19","0","98"
"Emma Calvert",21,"PF",6,4,0,"0","0","123","271","45.38745387453875","39","115","33.913043478260867","84","156","53.846153846153847","2","2","100","37","78","115","7","17","6","38","0","287"
"Amanda Barcello",21,"SG",5,11,0,"0","0","6","17","35.294117647058826","3","7","42.857142857142854","3","10","30","0","0","0","12","8","20","3","1","0","5","0","15"
"Arielle Mackey-Williams",21,"PG",5,9,0,"0","0","66","181","36.464088397790057","32","95","33.684210526315788","34","86","39.534883720930232","0","0","0","11","15","19","15","40","1","54","0","164"
"Rose Bubakar",21,"SF",6,0,0,"0","0","58","184","31.521739130434785","14","64","21.875","44","120","36.666666666666664","1","4","25","34","81","115","13","28","4","41","0","131"
