Name,Age,Pos,Ft,Inches,Exp
Shaylee Gonzales,21,SG,5,10,1
Nani Falatea,21,PG,5,9,0
Devry Millett,21,SG,5,10,1
Maria Albiero,21,PG,5,8,3
Tegan Graham,21,SG,6,0,4
Kaylee Smiler,21,PG,5,8,1
Lauren Gustin,21,SF,6,1,1
Paisley Harding,21,PG,5,9,3
Sara Hamson,21,C,6,7,3
Kate Vorwaller,21,PG,5,9,0
Signe Glantz,21,SF,6,1,2
Kyra Beckman,21,PF,6,2,0
Kayla Belles-Lee,21,PF,6,3,2
Heather Hamson,21,PF,6,3,0
Emma Calvert,21,PF,6,4,0
Amanda Barcello,21,SG,5,11,0
Arielle Mackey-Williams,21,PG,5,9,0
Rose Bubakar,21,SF,6,0,0
