"","Name","BPM_Pred","week","week_num"
"1","Shaylee Gonzales",-1.09002,"Week 1 Game Data",1
"2","Nani Falatea",-3.64327,"Week 1 Game Data",1
"3","Arielle MackeyWilliams",-6.64577,"Week 1 Game Data",1
"4","Maria Albiero",-2.36288,"Week 1 Game Data",1
"5","Tegan Graham",5.18256,"Week 1 Game Data",1
"6","Kaylee Smiler",5.48176,"Week 1 Game Data",1
"7","Lauren Gustin",1.52175,"Week 1 Game Data",1
"8","Paisley Harding",0.85025,"Week 1 Game Data",1
"9","Sara Hamson",2.65355,"Week 1 Game Data",1
"10","Emma Calvert",-6.53319,"Week 1 Game Data",1
"11","Kate Vorwaller",-0.65428,"Week 1 Game Data",1
"12","Shaylee Gonzales",3.34797,"Week 2 Game Data",2
"13","Nani Falatea",8.10969,"Week 2 Game Data",2
"14","Arielle MackeyWilliams",2.6192,"Week 2 Game Data",2
"15","Maria Albiero",-5.97768,"Week 2 Game Data",2
"16","Tegan Graham",1.6708,"Week 2 Game Data",2
"17","Lauren Gustin",-3.37637,"Week 2 Game Data",2
"18","Paisley Harding",4.67356,"Week 2 Game Data",2
"19","Sara Hamson",2.14103,"Week 2 Game Data",2
"20","Emma Calvert",1.94844,"Week 2 Game Data",2
"21","Kate Vorwaller",1.96235,"Week 2 Game Data",2
"22","Shaylee Gonzales",3.52351,"Week 3 Game Data",3
"23","Nani Falatea",-1.90872,"Week 3 Game Data",3
"24","Maria Albiero",2.87396,"Week 3 Game Data",3
"25","Tegan Graham",0.74559,"Week 3 Game Data",3
"26","Lauren Gustin",2.07683,"Week 3 Game Data",3
"27","Paisley Harding",0.85383,"Week 3 Game Data",3
"28","Sara Hamson",2.32019,"Week 3 Game Data",3
"29","Emma Calvert",6.29952,"Week 3 Game Data",3
"30","Shaylee Gonzales",4.19973,"Week 4 Game Data",4
"31","Maria Albiero",1.12375,"Week 4 Game Data",4
"32","Tegan Graham",-2.60244,"Week 4 Game Data",4
"33","Paisley Harding",7.17097,"Week 4 Game Data",4
"34","Sara Hamson",2.23031,"Week 4 Game Data",4
"35","Emma Calvert",1.99119,"Week 4 Game Data",4
"36","Shaylee Gonzales",0.40324,"Week 5 Game Data",5
"37","Maria Albiero",2.30802,"Week 5 Game Data",5
"38","Tegan Graham",4.63946,"Week 5 Game Data",5
"39","Lauren Gustin",-4.0367,"Week 5 Game Data",5
"40","Paisley Harding",-5.78478,"Week 5 Game Data",5
"41","Sara Hamson",2.23031,"Week 5 Game Data",5
"42","Shaylee Gonzales",-2.55239,"Week 6 Game Data",6
"43","Maria Albiero",-6.58591,"Week 6 Game Data",6
"44","Tegan Graham",2.92777,"Week 6 Game Data",6
"45","Kaylee Smiler",1.92869,"Week 6 Game Data",6
"46","Lauren Gustin",-4.86133,"Week 6 Game Data",6
"47","Paisley Harding",6.32895,"Week 6 Game Data",6
"48","Sara Hamson",2.09087,"Week 6 Game Data",6
"49","Shaylee Gonzales",7.23927,"Week 7 Game Data",7
"50","Nani Falatea",-5.82773,"Week 7 Game Data",7
"51","Arielle MackeyWilliams",6.15857,"Week 7 Game Data",7
"52","Maria Albiero",6.15857,"Week 7 Game Data",7
"53","Tegan Graham",6.42364,"Week 7 Game Data",7
"54","Kaylee Smiler",-3.64327,"Week 7 Game Data",7
"55","Lauren Gustin",1.5072,"Week 7 Game Data",7
"56","Paisley Harding",-7.2141,"Week 7 Game Data",7
"57","Sara Hamson",1.96006,"Week 7 Game Data",7
"58","Emma Calvert",4.81147,"Week 7 Game Data",7
"59","Shaylee Gonzales",-1.2483,"Week 8 Game Data",8
"60","Nani Falatea",1.77916,"Week 8 Game Data",8
"61","Arielle MackeyWilliams",-1.21221,"Week 8 Game Data",8
"62","Maria Albiero",7.03807,"Week 8 Game Data",8
"63","Tegan Graham",1.42118,"Week 8 Game Data",8
"64","Kaylee Smiler",1.46511,"Week 8 Game Data",8
"65","Lauren Gustin",2.02778,"Week 8 Game Data",8
"66","Paisley Harding",6.32727,"Week 8 Game Data",8
"67","Devry Millett",2.02906,"Week 8 Game Data",8
"68","Sara Hamson",-6.66548,"Week 8 Game Data",8
"69","Rose Bubakar",-4.31793,"Week 8 Game Data",8
"70","Emma Calvert",4.54584,"Week 8 Game Data",8
"71","Shaylee Gonzales",3.55624,"Week 9 Game Data",9
"72","Nani Falatea",8.11268,"Week 9 Game Data",9
"73","Arielle MackeyWilliams",-7.38746,"Week 9 Game Data",9
"74","Maria Albiero",-5.40694,"Week 9 Game Data",9
"75","Tegan Graham",4.11724,"Week 9 Game Data",9
"76","Lauren Gustin",2.01056,"Week 9 Game Data",9
"77","Paisley Harding",-2.68638,"Week 9 Game Data",9
"78","Sara Hamson",3.19382,"Week 9 Game Data",9
"79","Emma Calvert",2.01069,"Week 9 Game Data",9
"80","Kate Vorwaller",1.96235,"Week 9 Game Data",9
"81","Shaylee Gonzales",8.28011,"Week 10 Game Data",10
"82","Nani Falatea",-0.4259,"Week 10 Game Data",10
"83","Maria Albiero",1.92869,"Week 10 Game Data",10
"84","Tegan Graham",-3.97849,"Week 10 Game Data",10
"85","Lauren Gustin",-2.42713,"Week 10 Game Data",10
"86","Paisley Harding",6.61004,"Week 10 Game Data",10
"87","Sara Hamson",1.99119,"Week 10 Game Data",10
"88","Shaylee Gonzales",5.4992,"Week 11 Game Data",11
"89","Nani Falatea",6.11751,"Week 11 Game Data",11
"90","Arielle MackeyWilliams",-6.8031,"Week 11 Game Data",11
"91","Maria Albiero",6.82527,"Week 11 Game Data",11
"92","Tegan Graham",2.1378,"Week 11 Game Data",11
"93","Kaylee Smiler",2.44036,"Week 11 Game Data",11
"94","Lauren Gustin",0.72011,"Week 11 Game Data",11
"95","Paisley Harding",4.67794,"Week 11 Game Data",11
"96","Devry Millett",-0.65532,"Week 11 Game Data",11
"97","Heather Hamson",-6.67132,"Week 11 Game Data",11
"98","Sara Hamson",-0.00595,"Week 11 Game Data",11
"99","Rose Bubakar",6.52577,"Week 11 Game Data",11
"100","Emma Calvert",-2.6783,"Week 11 Game Data",11
"101","Kate Vorwaller",-6.55615,"Week 11 Game Data",11
"102","Shaylee Gonzales",-0.14678,"Week 12 Game Data",12
"103","Maria Albiero",-5.20669,"Week 12 Game Data",12
"104","Tegan Graham",-1.40937,"Week 12 Game Data",12
"105","Kaylee Smiler",-5.03643,"Week 12 Game Data",12
"106","Lauren Gustin",0.95653,"Week 12 Game Data",12
"107","Paisley Harding",6.33192,"Week 12 Game Data",12
"108","Sara Hamson",2.29008,"Week 12 Game Data",12
"109","Emma Calvert",1.92869,"Week 12 Game Data",12
"110","Shaylee Gonzales",6.45022,"Week 13 Game Data",13
"111","Nani Falatea",6.93679,"Week 13 Game Data",13
"112","Arielle MackeyWilliams",6.41634,"Week 13 Game Data",13
"113","Maria Albiero",-6.37539,"Week 13 Game Data",13
"114","Tegan Graham",6.31483,"Week 13 Game Data",13
"115","Kaylee Smiler",-3.41971,"Week 13 Game Data",13
"116","Lauren Gustin",1.12159,"Week 13 Game Data",13
"117","Paisley Harding",5.11177,"Week 13 Game Data",13
"118","Devry Millett",2.5737,"Week 13 Game Data",13
"119","Sara Hamson",3.10415,"Week 13 Game Data",13
"120","Rose Bubakar",-2.74452,"Week 13 Game Data",13
"121","Emma Calvert",2.61075,"Week 13 Game Data",13
"122","Shaylee Gonzales",1.12758,"Week 14 Game Data",14
"123","Nani Falatea",7.40684,"Week 14 Game Data",14
"124","Arielle MackeyWilliams",2.5737,"Week 14 Game Data",14
"125","Maria Albiero",4.58278,"Week 14 Game Data",14
"126","Tegan Graham",-2.18508,"Week 14 Game Data",14
"127","Kaylee Smiler",-6.62659,"Week 14 Game Data",14
"128","Lauren Gustin",-6.77192,"Week 14 Game Data",14
"129","Paisley Harding",3.26068,"Week 14 Game Data",14
"130","Sara Hamson",1.8641,"Week 14 Game Data",14
"131","Rose Bubakar",1.96235,"Week 14 Game Data",14
"132","Emma Calvert",1.92869,"Week 14 Game Data",14
"133","Shaylee Gonzales",-0.0339,"Week 15 Game Data",15
"134","Nani Falatea",5.02701,"Week 15 Game Data",15
"135","Arielle MackeyWilliams",4.89648,"Week 15 Game Data",15
"136","Maria Albiero",3.53921,"Week 15 Game Data",15
"137","Tegan Graham",1.99344,"Week 15 Game Data",15
"138","Kaylee Smiler",5.06926,"Week 15 Game Data",15
"139","Lauren Gustin",2.86548,"Week 15 Game Data",15
"140","Paisley Harding",4.97896,"Week 15 Game Data",15
"141","Sara Hamson",1.95985,"Week 15 Game Data",15
"142","Rose Bubakar",-2.04343,"Week 15 Game Data",15
"143","Emma Calvert",4.89958,"Week 15 Game Data",15
"144","Kate Vorwaller",5.02701,"Week 15 Game Data",15
"145","Shaylee Gonzales",-4.29191,"Conference Tournament Game Data",16
"146","Nani Falatea",1.80653,"Conference Tournament Game Data",16
"147","Maria Albiero",5.71137,"Conference Tournament Game Data",16
"148","Tegan Graham",-3.75838,"Conference Tournament Game Data",16
"149","Kaylee Smiler",5.11984,"Conference Tournament Game Data",16
"150","Lauren Gustin",-7.51574,"Conference Tournament Game Data",16
"151","Paisley Harding",-3.8392,"Conference Tournament Game Data",16
"152","Sara Hamson",-2.58275,"Conference Tournament Game Data",16
"153","Shaylee Gonzales",6.48069,"Cumulative Game Data",NA
"154","Nani Falatea",4.57699,"Cumulative Game Data",NA
"155","Arielle MackeyWilliams",-5.62259,"Cumulative Game Data",NA
"156","Maria Albiero",1.51761,"Cumulative Game Data",NA
"157","Tegan Graham",5.69024,"Cumulative Game Data",NA
"158","Kaylee Smiler",1.71565,"Cumulative Game Data",NA
"159","Lauren Gustin",4.19775,"Cumulative Game Data",NA
"160","Paisley Harding",6.91638,"Cumulative Game Data",NA
"161","Devry Millett",-1.07604,"Cumulative Game Data",NA
"162","Sara Hamson",2.65791,"Cumulative Game Data",NA
"163","Rose Bubakar",-0.68279,"Cumulative Game Data",NA
"164","Emma Calvert",1.5973,"Cumulative Game Data",NA
"165","Kate Vorwaller",-0.15957,"Cumulative Game Data",NA
