"","Player Name","Position","BPM_Pred","Percentile","GP","MPG","PPG","REBPG","ASTPG","STLPG","BLKPG","TOPG","FG.","FT.","X3P.","TMIN","FGM","FGA","FTM","FTA","X3PM","X3PA","PTS","OR","DR","TREB","AST","TO","STL","BLK","Institution"
"1","TAYLOR O'BRIEN","G",8.22146053435616,1,34,33.5,16.7,6.5,1.7,2.2,0.5,2.4,41,77.8,33.7,1140,209,510,119,153,30,89,567,21,201,222,59,80,75,18,"Bucknell University"
"2","MAKAYLA HEMINGWAY","G",7.84611183952702,0.99,10,4.1,0.7,0.7,0.3,0.2,0.1,0.2,25,0,20,41,3,12,0,0,1,5,7,0,7,7,3,2,2,1,"Colorado State University"
"3","TOMEKIA WHITMAN","G",7.73449273911868,0.99,31,33.1,11.9,6.9,2.4,2.2,0.5,2,41.6,72.7,34.7,1027,148,356,40,55,34,98,370,84,130,214,74,62,68,16,"Idaho State University"
"4","GEORGIA WOOLLEY","G",7.42850889035914,0.98,34,30.7,14.6,4.6,1.9,2.1,0.5,3.1,41.8,85.2,30.4,1043,174,416,98,115,51,168,497,51,107,158,65,104,73,17,"University at Buffalo, the State University of New York"
"5","ALEXIA ALLESCH","F",7.28450513286812,0.97,20,28.8,13.3,9.6,0.6,1.3,1.5,1.5,50.2,55,36.1,575,104,207,22,40,35,97,265,43,149,192,11,29,25,30,"Appalachian State University"
"6","CHRISTIANNA CARR","G",7.14608331140799,0.97,29,30.3,11.7,4.6,1.3,1,0.6,2,36.3,91.7,34.3,879,117,322,44,48,60,175,338,27,107,134,39,58,30,18,"Syracuse University"
"7","LAUREN FIELDS","G",7.01608405712829,0.96,27,34.7,15.4,4.1,1.9,2.5,0.8,2.5,32.9,63,28.4,936,140,425,87,138,50,176,417,21,91,112,51,67,67,21,"Oklahoma State University"
"8","OLIVIA DOWDEN","G",7.00065060907434,0.96,5,6,3.2,0.8,0.8,0.2,0.2,0.2,50,0,33.3,30,7,14,0,0,2,6,16,0,4,4,4,1,1,1,"Texas A&M University-Corpus Christi"
"9","JAAUCKLYN MOORE","G",6.9138126800105,0.96,29,34,17.3,3.5,1.7,1.4,0.6,2.1,38.1,77,29.7,987,185,486,67,87,66,222,503,14,88,102,49,60,42,16,"University of the Incarnate Word"
"10","WYVETTE MAYBERRY","G",6.87695357142472,0.96,27,33.5,14.1,4,2.9,1.4,0.2,1.8,44.5,77.4,43,905,133,299,72,93,43,100,381,26,82,108,78,49,37,6,"The University of Tulsa"
