"","Player Name","Position","Institution","Initiated Date","BPM_Pred","Percentile","GP","MPG","PPG","REBPG","ASTPG","STLPG","BLKPG","TOPG","FG.","FT.","X3P.","TMIN","FGM","FGA","FTM","FTA","X3PM","X3PA","PTS","OR","DR","TREB","AST","TO","STL","BLK"
"1","TAYLOR O'BRIEN","G","Bucknell University","03/14/2022",8.22146053435616,1,34,33.5,16.7,6.5,1.7,2.2,0.5,2.4,41,77.8,33.7,1140,209,510,119,153,30,89,567,21,201,222,59,80,75,18
"2","MAKAYLA HEMINGWAY","G","Colorado State University","03/21/2022",7.84611183952702,0.99,10,4.1,0.7,0.7,0.3,0.2,0.1,0.2,25,0,20,41,3,12,0,0,1,5,7,0,7,7,3,2,2,1
"3","FAITH PRICE","G","Campbell University","03/28/2022",7.80507946872864,0.99,27,29.6,12.1,1.7,1.1,1,0.6,1.3,41.1,85.4,41,799,106,258,41,48,75,183,328,12,35,47,31,36,27,16
"4","TOMEKIA WHITMAN","G","Idaho State University","03/18/2022",7.73449273911868,0.99,31,33.1,11.9,6.9,2.4,2.2,0.5,2,41.6,72.7,34.7,1027,148,356,40,55,34,98,370,84,130,214,74,62,68,16
"5","GEORGIA WOOLLEY","G","University at Buffalo, the State University of New York","03/27/2022",7.42850889035914,0.98,34,30.7,14.6,4.6,1.9,2.1,0.5,3.1,41.8,85.2,30.4,1043,174,416,98,115,51,168,497,51,107,158,65,104,73,17
"6","ALEXIA ALLESCH","F","Appalachian State University","03/18/2022",7.28450513286812,0.97,20,28.8,13.3,9.6,0.6,1.3,1.5,1.5,50.2,55,36.1,575,104,207,22,40,35,97,265,43,149,192,11,29,25,30
"7","E'LEASE STAFFORD","G","Utah State University","03/28/2022",7.17335691900258,0.97,29,26.7,9.3,6.3,1.7,0.7,1,1.6,41.7,80.8,29.3,773,100,240,42,52,27,92,269,44,139,183,50,46,21,28
"8","CHRISTIANNA CARR","G","Syracuse University","03/23/2022",7.14608331140799,0.97,29,30.3,11.7,4.6,1.3,1,0.6,2,36.3,91.7,34.3,879,117,322,44,48,60,175,338,27,107,134,39,58,30,18
"9","LAUREN FIELDS","G","Oklahoma State University","03/22/2022",7.01608405712829,0.96,27,34.7,15.4,4.1,1.9,2.5,0.8,2.5,32.9,63,28.4,936,140,425,87,138,50,176,417,21,91,112,51,67,67,21
"10","OLIVIA DOWDEN","G","Texas A&M University-Corpus Christi","03/08/2022",7.00065060907434,0.96,5,6,3.2,0.8,0.8,0.2,0.2,0.2,50,0,33.3,30,7,14,0,0,2,6,16,0,4,4,4,1,1,1
"11","JAAUCKLYN MOORE","G","University of the Incarnate Word","03/22/2022",6.9138126800105,0.96,29,34,17.3,3.5,1.7,1.4,0.6,2.1,38.1,77,29.7,987,185,486,67,87,66,222,503,14,88,102,49,60,42,16
"12","WYVETTE MAYBERRY","G","The University of Tulsa","03/23/2022",6.87695357142472,0.96,27,33.5,14.1,4,2.9,1.4,0.2,1.8,44.5,77.4,43,905,133,299,72,93,43,100,381,26,82,108,78,49,37,6
"13","MEGHAN BOYD","G","University of Denver","03/08/2022",6.80364632578745,0.95,30,30.3,11.1,3,1.9,0.8,0.2,2.3,34.1,91.7,31.6,908,108,317,55,60,61,193,332,6,85,91,58,68,24,6
"14","MYA BURNS","G","Georgia Southern University","03/14/2022",6.70271316565356,0.95,28,25.8,11.7,5.3,1,1.1,0.5,1.6,37.7,78.9,33.1,723,107,284,71,90,42,127,327,58,90,148,27,44,32,14
"15","JADA DAPAA","C","Saint Francis University (Pennsylvania)","03/16/2022",6.6880211080436,0.95,30,33.4,9.4,12.6,2.6,1.2,0.5,2.4,44.1,72.2,20,1001,112,254,57,79,1,5,282,115,263,378,79,73,35,14
"16","JIREH WASHINGTON","G","Arkansas State University","03/11/2022",6.6362317565828,0.94,24,26.5,14.4,3.5,3.2,1.9,0.1,2,48.8,71.9,37.7,635,119,244,82,114,26,69,346,24,61,85,76,48,45,3
"17","TERREN WARD","G","Georgia Southern University","03/28/2022",6.56430720589673,0.94,24,25.9,15.2,7.6,2.1,2,0.6,2.8,40.2,73.1,36.2,622,127,316,76,104,34,94,364,44,139,183,50,67,48,15
"18","BRIE PERPIGNAN","G","Elon University","03/21/2022",6.55804740957002,0.94,29,34.1,16.6,3.7,5.5,1.8,0.4,3.7,40.9,81.1,29.2,988,159,389,137,169,26,89,481,30,78,108,159,107,51,11
"19","JESSICA RIOS","G","California State University, Sacramento","03/14/2022",6.55758545021044,0.94,19,23.3,4.4,1.7,0.6,0.4,0.1,0.5,40,0,41.2,443,28,70,0,0,28,68,84,1,31,32,12,9,8,2
"20","MORGAN JONES","G","Florida State University","03/23/2022",6.54750312645343,0.94,30,26.8,13.8,5.7,1.6,1.1,1,2.1,46,76.8,0,805,154,335,106,138,0,5,414,39,131,170,47,62,33,30
"21","DESTINY THURMAN","G","University of Texas at El Paso","03/28/2022",6.52828290060537,0.94,23,29.4,13,3.1,1.7,1.2,0.1,1.5,37.9,80.8,34.5,677,97,256,63,78,41,119,298,27,45,72,38,35,28,3
"22","EMMA SQUIRES","F","University of Richmond","03/15/2022",6.51742730725264,0.93,30,21.4,10.8,3.9,0.9,0.9,0.7,1.9,49.5,81,44.1,642,110,222,51,63,52,118,323,25,91,116,27,57,27,20
"23","SYDNEY FREEMAN","G","Ball State University","03/21/2022",6.49874367779177,0.93,31,33,11.1,2.7,4,1.4,0.3,2.2,36.3,81.8,28.1,1023,122,336,45,55,55,196,344,3,82,85,125,69,43,8
"24","BRYNNA MAXWELL","G","University of Utah","03/24/2022",6.44523428508639,0.93,33,20.6,10.6,3.2,0.9,0.5,0.2,1,39.7,88.5,38,680,106,267,69,78,68,179,349,11,94,105,30,33,15,5
"25","SAVANNAH WHEELER","G","Marshall University","03/18/2022",6.43489148851847,0.93,28,34.6,20.3,4.4,2.3,1.3,0.2,3,42.8,81.7,34.5,969,185,432,138,169,60,174,568,18,105,123,63,84,37,6
"26","SARA BERSHERS","G","The University of Texas Rio Grande Valley","03/14/2022",6.40538265019942,0.92,29,30.6,13.5,5.7,1.6,1.3,1.3,2.3,37.2,86,36.2,888,121,325,86,100,64,177,392,40,124,164,47,66,37,38
"27","KATIE HORYNA","G","Abilene Christian University","03/21/2022",6.39887663281555,0.92,17,7.4,1.6,0.9,0.7,0.2,0,0.2,42.9,50,43.8,125,9,21,2,4,7,16,27,6,10,16,12,3,3,0
"28","SHAY FREDERICK","G","Valparaiso University","03/18/2022",6.36973565047226,0.92,30,34.2,11.9,3.6,4.8,1,0,2.8,37.3,82.7,29.7,1025,115,308,81,98,47,158,358,13,96,109,144,84,30,1
"29","CAITLYN HARPER","F","California Baptist University","03/18/2022",6.35816503767845,0.92,32,30.1,17.8,5.9,1.3,1.3,1.6,1.8,53,74,30.5,964,223,421,94,127,29,95,569,36,153,189,40,58,41,51
"30","KAYLIN RANDHAWA","G","Utah State University","03/14/2022",6.35302489130367,0.92,29,32.6,11.9,4.9,2.4,1.3,0.2,3.1,35.4,84.4,29.1,944,107,302,92,109,39,134,345,31,111,142,71,91,39,6
"31","ARINA KHLOPKOVA","G","Eastern Kentucky University","03/28/2022",6.33867894997118,0.92,7,3.9,1.3,0.3,0.3,0.1,0.1,0.1,36.4,0,25,27,4,11,0,0,1,4,9,1,1,2,2,1,1,1
"32","SASHA KOENIG","G","Bradley University","03/22/2022",6.3368443311475,0.92,13,6.9,0.8,0.5,0.3,0.4,0.1,0.6,23.5,0,23.1,90,4,17,0,0,3,13,11,1,6,7,4,8,5,1
"33","PAIGE BRADFORD","F","University of Missouri-Kansas City","03/24/2022",6.30328618956255,0.91,32,29.4,9.2,8.3,2.3,0.6,0.9,1.9,43.3,72.5,27,942,120,277,29,40,24,89,293,69,198,267,75,60,20,28
"34","MARIA CARVALHO","G","Utah Valley University","03/14/2022",6.28113268172338,0.91,29,36.1,13.6,4.7,3.2,1.2,0.1,3,37.3,87.3,33.3,1046,148,397,48,55,49,147,393,25,110,135,93,88,36,2
