Name,GP,MPG,PPG,REBPG,ASTPG,STLPG,BLKPG,TOPG,FG%,FT%,3P%,TMIN,FGM,FGA,FTM,FTA,3PM,3PA,PTS,OR,DR,TREB,AST,TO,STL,BLK
Jaela Johnson G,26,30.7,12.9,3.7,2.5,1.3,0.0,2.9,36.9,78.2,32.9,798,111,301,68,87,46,140,336,22,73,95,65,75,33,0
Presley Brown G,28,26.4,9.2,4.3,2.8,1.5,0.4,2.9,35.9,72.0,25.4,740,102,284,36,50,18,71,258,26,95,121,78,81,42,12
Bailee Harney G,26,22.4,8.7,1.7,1.1,0.5,0.1,1.6,36.7,69.0,36.0,582,83,226,20,29,40,111,226,3,41,44,29,41,13,3
Mackenzie Keelin G,28,21.7,7.6,4.2,0.6,0.2,0.3,2.0,39.8,50.0,37.0,607,78,196,6,12,51,138,213,15,103,118,18,55,6,7
Lauren Deel F,6,23.5,6.5,5.8,0.7,0.3,0.7,3.0,36.2,62.5,0.0,141,17,47,5,8,0,2,39,14,21,35,4,18,2,4
Kathleen Scott G,26,26.4,6.2,2.4,2.3,1.0,0.1,2.7,39.6,85.1,31.3,686,44,111,63,74,10,32,161,25,37,62,61,69,26,3
Claire Knies G,28,21.4,5.3,2.1,1.0,0.7,0.0,1.4,32.6,64.0,27.1,598,58,178,16,25,16,59,148,21,38,59,28,39,19,0
Sheniqua Coatney F,22,19.6,4.7,5.0,0.8,1.0,1.0,2.0,44.2,55.9,0.0,432,42,95,19,34,0,0,103,37,73,110,17,43,21,21
Lucy Robertson F,27,14.4,3.7,3.3,0.3,0.2,0.5,1.5,46.4,80.8,0.0,390,39,84,21,26,0,1,99,34,54,88,8,40,5,13
Hannah Farrell G,5,16.4,3.6,3.0,1.2,0.8,0.2,1.4,63.6,50.0,60.0,82,7,11,1,2,3,5,18,4,11,15,6,7,4,1
Haley Stoklosa F,25,13.4,2.9,1.6,0.4,0.4,0.5,0.6,46.8,63.2,37.5,334,29,62,12,19,3,8,73,17,23,40,10,16,11,12
Bralee Trice G,14,11.9,1.6,1.4,0.5,0.4,0.1,0.7,26.7,46.2,8.3,166,8,30,6,13,1,12,23,10,10,20,7,10,5,1
Anzley Adwell G,5,8.8,1.0,0.8,0.0,0.4,0.0,0.0,9.1,50.0,33.3,44,1,11,2,4,1,3,5,1,3,4,0,0,2,0
Lucy Ibeh F,27,26.8,12.5,10.3,1.2,1.9,0.4,3.3,45.2,63.1,16.7,723,127,281,82,130,1,6,337,83,196,279,33,89,52,11
Hannah Langhi F,27,26.6,10.2,5.7,1.7,1.1,0.9,1.9,43.8,84.0,27.6,719,113,258,42,50,8,29,276,40,114,154,45,51,30,23
Randrea Wright G,28,32.1,9.6,2.7,3.0,0.9,0.1,3.8,36.4,71.2,15.4,899,104,286,57,80,4,26,269,15,61,76,85,106,24,2
Carley Hudspeth G,28,26.3,5.5,1.6,0.9,0.4,0.1,1.3,29.2,74.2,28.9,736,49,168,23,31,33,114,154,17,28,45,24,37,12,2
Jayla Cody F,23,21.9,4.4,3.9,0.8,0.3,0.8,1.1,41.6,68.3,0.0,503,37,89,28,41,0,0,102,33,57,90,19,25,7,19
Lashiyah Fowler F,25,16.6,4.4,1.8,0.4,0.5,0.0,1.3,34.4,82.4,28.6,415,43,125,14,17,10,35,110,17,28,45,11,33,12,0
Savanna Walker G,22,18.2,3.6,1.1,0.8,0.5,0.1,1.4,29.6,88.2,50.0,401,24,81,30,34,1,2,79,5,20,25,17,31,12,2
Gloria Fornah G,25,22.0,3.2,2.8,0.7,0.5,0.0,0.9,33.3,47.2,0.0,551,31,93,17,36,0,10,79,33,36,69,17,22,13,0
Ruth Balogun G,23,7.8,1.9,2.1,0.3,0.2,0.0,0.6,44.7,57.1,33.3,180,17,38,8,14,1,3,43,15,34,49,6,13,4,1
Leah Perry F,13,5.8,1.3,1.3,0.0,0.2,0.1,0.7,42.9,83.3,0.0,75,6,14,5,6,0,0,17,7,10,17,0,9,3,1
Rita James G,27,11.7,1.1,1.6,1.0,0.4,0.0,1.4,23.1,63.6,0.0,316,12,52,7,11,0,5,31,12,31,43,28,39,12,0
Tajanna White F,8,10.1,1.1,1.3,0.0,0.3,0.0,1.5,33.3,25.0,0.0,81,4,12,1,4,0,0,9,2,8,10,0,12,2,0
Skylar Bailey G,5,10.2,0.6,1.4,0.4,0.0,0.0,1.4,0.0,75.0,0.0,51,0,8,3,4,0,4,3,1,6,7,2,7,0,0
Jayla Johnson F,30,22.6,12.7,4.1,0.7,0.9,0.5,2.9,37.1,71.3,27.0,677,135,364,92,129,20,74,382,40,82,122,21,86,27,14
Alice Recanati G,31,32.0,9.9,3.0,4.4,1.7,0.1,3.4,38.2,71.7,36.5,991,107,280,71,99,23,63,308,23,69,92,137,104,53,2
Bria Bass G,29,29.1,9.2,6.9,1.2,0.8,0.1,2.0,39.3,76.2,23.5,845,94,239,64,84,16,68,268,82,119,201,34,57,23,2
Ariel Kirkwood G,29,22.1,6.8,5.6,1.6,1.4,1.4,2.2,40.0,67.4,29.0,641,78,195,31,46,9,31,196,60,101,161,45,65,41,41
Emma Hacker F,31,18.5,6.4,2.5,1.1,1.1,0.5,1.3,41.3,80.0,36.3,575,59,143,52,65,29,80,199,11,66,77,33,40,34,17
I'Liyah Green C,30,21.4,5.9,5.7,0.4,0.6,1.2,1.2,45.3,67.6,0.0,643,77,170,23,34,0,9,177,73,98,171,13,36,19,35
